Random waveform, supplied seed
Total number of intervals = 75 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333)
Average QPS expected = 51482
Timestamp start: 1715439272616
Timestamp end: 1715440173187

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      382.0   269.7   148.8   212.0   227.3   343.1   410.0   449.8   479.8   518.8   569.3   638.3   853.8  2722.9  8476.1  67296.3    67361
read      381.8   362.3   160.7   215.7   229.9   362.8   421.7   449.0   466.6   488.5   514.1   558.3   689.4  4052.0 13540.1  16319.3    16287
read      361.3   220.5   148.8   209.5   224.3   331.0   389.7   424.0   450.1   482.3   527.5   593.9   742.9  1858.6  8991.4  81421.6    81508
read      367.6   245.6   148.8   211.1   226.4   335.7   393.6   427.4   453.4   485.5   530.2   597.1   759.9  2787.0  9063.2  87612.8    87619
read      369.0   310.2   148.8   212.8   228.7   339.2   393.2   424.7   448.7   477.9   519.3   585.4   747.2  3359.1 12946.6  99080.6    99068
read      420.5   329.1   160.7   212.8   228.0   343.4   421.2   475.7   522.8   579.6   657.3   890.4  1414.9  3758.9 10588.4  51329.2    51267
read      376.4   396.8   160.7   222.0   238.2   360.8   403.3   424.0   437.0   455.0   474.3   512.6   632.7  4218.5 19276.0  11844.8    11822
read      366.0   236.6   148.8   212.9   228.7   338.9   393.9   425.7   450.0   479.7   522.2   588.8   743.5  1953.6  9601.1  97540.9    97494
read      364.8   229.8   148.8   213.9   229.9   339.6   394.1   425.5   449.4   478.3   518.9   583.4   726.1  1832.4  8067.2  97412.8    97350
read      370.6   271.8   160.7   211.3   226.1   332.4   394.6   433.8   466.3   508.0   561.3   625.6   757.0  1949.1 10815.6  55471.7    55460
read      362.7   288.1   148.8   209.8   224.8   331.5   388.7   421.7   446.6   477.4   521.8   589.1   732.0  2909.0 12027.2  85958.0    85984
read      366.0   205.9   160.7   209.9   224.9   335.1   395.5   430.3   457.1   490.4   536.3   606.1   764.2  1894.3  8609.9  81977.4    82043
read      371.0   240.6   160.7   210.4   225.0   332.3   396.2   436.6   470.1   513.5   566.4   629.3   760.3  2187.1  8474.1  52832.5    52873
read      379.6   388.6   160.7   219.7   234.4   361.8   411.3   434.3   450.7   467.6   493.2   534.4   648.0  4645.1 16800.7  13981.2    13911
read      371.6   296.4   160.7   210.3   224.8   329.9   395.1   437.6   472.9   518.3   571.3   632.1   760.3  1898.5 11464.5  50097.2    49984
read      371.2   459.6   160.7   224.7   242.6   349.7   383.7   400.5   413.2   427.4   446.1   478.8   637.5  5012.4 22514.2   9287.1     9274
read      373.4   208.2   160.7   210.3   224.4   336.0   421.4   464.3   493.1   524.6   560.2   606.3   715.9  2163.2  7864.9  27199.0    27187
read      380.2   344.9   160.7   213.5   227.8   356.5   423.3   453.8   473.4   497.8   528.4   574.0   688.1  4143.1 12029.4  18738.1    18735
read      549.1   538.5   148.8   222.4   243.8   391.8   464.5   521.2   576.8   677.7  1413.7  1674.8  2028.8  3050.0 13648.5  86501.6    86505
read      364.5   226.3   148.8   210.9   226.4   336.4   393.0   425.6   450.5   481.1   524.4   591.3   747.2  1925.7  8380.7  93064.2    93039
read      364.3   233.5   160.7   209.9   224.7   331.9   391.7   426.5   453.6   487.9   535.9   605.7   755.0  2047.4  7468.4  76170.7    75999
read      376.1   204.1   148.8   211.7   226.5   338.4   420.5   465.6   496.7   530.6   568.2   616.8   726.0  1935.9  8602.8  32286.8    32324
read      368.4   184.9   148.8   212.7   228.4   342.8   403.2   437.7   463.8   496.1   538.7   602.5   741.6  1150.6  7674.2  84258.1    84255
read      368.0   174.0   148.8   214.0   229.4   342.4   403.2   438.0   464.4   496.6   539.1   601.5   731.3  1085.8  7561.2  81706.1    81759
read      379.4   208.1   148.8   213.6   228.7   341.6   421.2   468.5   502.1   538.4   577.0   625.9   728.5  1381.9  8936.6  37365.1    37291
read      375.5   191.7   148.8   214.3   229.7   344.2   410.8   451.8   483.1   521.6   566.6   622.5   732.5  1224.4  7045.2  53765.2    53818
read      372.9   215.2   148.8   212.1   226.8   339.6   422.4   464.2   491.1   519.8   551.6   591.9   681.7  1835.7  9252.8  30329.7    30297
read      372.2   229.3   148.8   211.9   226.6   337.4   419.2   461.8   489.6   519.6   553.2   595.2   686.6  1494.4  8886.8  31585.2    31569
read      374.2   229.4   160.7   213.4   228.3   338.8   414.7   458.8   490.1   525.1   564.2   613.4   712.6  1042.1 10137.8  38764.4    38927
