avg,std,min,QPS,target,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,timestamp
390.0,335.7,160.7,7443.8,7434.0,223.6,245.8,379.6,419.6,441.4,457.3,473.9,498.9,537.9,633.1,4002.3,13576.1,0
395.3,292.7,148.8,67100.2,67201.0,206.9,222.6,348.3,427.5,475.0,510.6,552.6,608.1,691.1,935.1,2893.7,9136.9,10
390.2,265.1,148.8,85908.4,85927.0,210.6,226.8,350.7,420.6,462.3,494.0,532.7,584.1,668.5,897.7,2550.2,9813.1,20
402.3,330.3,148.8,63801.4,63953.0,207.3,222.6,351.1,433.3,481.6,518.0,562.9,620.6,708.6,1050.0,3143.4,11080.6,30
416.6,372.1,148.8,31541.0,31595.0,204.4,219.0,355.6,463.2,522.5,559.4,597.6,643.1,718.6,1083.5,5346.3,10441.2,40
427.6,492.4,148.8,87791.4,87879.0,212.0,229.8,363.3,435.1,479.3,513.0,555.0,615.5,725.4,1674.6,7075.8,16988.9,50
404.2,624.2,160.7,7238.0,7287.0,226.3,249.3,372.7,408.8,428.2,441.7,459.2,480.5,515.4,639.1,11187.8,28654.4,60
393.1,259.3,148.8,62185.2,62295.0,206.2,221.4,346.7,428.7,476.5,513.1,557.6,614.2,695.7,896.8,2140.0,9394.0,70
374.6,277.9,160.7,6515.6,6561.0,227.4,253.0,362.2,394.5,412.2,425.4,439.6,461.3,496.0,594.6,4588.1,12314.1,80
401.3,267.6,148.8,22451.6,22532.0,204.2,219.0,369.6,470.8,513.3,540.2,569.6,602.8,648.9,778.6,3542.5,10495.5,90
417.2,438.9,148.8,60578.8,60653.0,208.0,223.6,353.7,437.0,487.3,526.2,574.0,634.7,731.5,1392.0,6267.0,13650.1,100
399.6,383.6,148.8,59096.2,59076.0,205.0,220.2,346.5,426.8,475.4,511.7,555.0,609.2,693.0,1108.0,2751.5,14601.2,110
384.1,214.5,148.8,60131.6,60154.0,204.9,219.7,342.9,422.6,469.5,505.8,549.3,601.3,673.8,833.4,1881.7,6622.1,120
389.4,275.5,148.8,22901.4,22964.0,202.4,216.7,359.5,458.8,499.6,525.2,551.0,582.0,625.3,722.6,1960.3,12090.5,130
388.2,408.8,160.7,8208.4,8172.0,220.6,239.8,372.7,411.8,432.2,447.4,464.2,486.7,520.1,639.3,5698.8,21230.2,140
391.1,281.9,148.8,27777.0,27652.0,200.1,213.8,347.2,455.8,506.7,537.2,569.8,607.2,659.7,781.9,1565.2,9814.2,150
404.7,621.0,148.8,37764.0,37594.0,201.5,215.3,344.7,440.8,498.4,537.6,579.0,625.9,689.0,865.4,3774.5,33473.2,160
402.9,437.3,160.7,24132.4,24367.0,201.3,215.1,358.1,466.3,510.5,538.4,568.4,602.2,651.3,805.4,4472.1,15028.1,170
396.7,226.4,148.8,33792.6,33771.0,201.2,215.2,343.5,450.2,513.4,553.5,592.9,635.4,690.3,839.2,2025.4,7619.4,180
380.6,241.7,148.8,85033.8,84944.0,208.1,223.6,341.3,410.5,452.1,483.6,522.8,575.4,655.9,859.6,2213.5,8244.0,190
