timestamp,core_1,core_2,core_3,core_4
1715520321.244,0.0,0.0,0.0,0.0
1715520321.494,3.8,0.0,0.0,0.0
1715520321.745,3.8,0.0,0.0,0.0
1715520321.996,0.0,0.0,4.0,0.0
1715520322.246,0.0,0.0,0.0,0.0
1715520322.497,0.0,0.0,0.0,0.0
1715520322.747,0.0,0.0,0.0,0.0
1715520322.998,0.0,0.0,0.0,0.0
1715520323.248,0.0,0.0,3.8,3.8
1715520323.499,0.0,0.0,0.0,0.0
1715520323.75,0.0,3.8,0.0,0.0
1715520324.0,0.0,0.0,0.0,3.8
1715520324.251,0.0,3.8,0.0,0.0
1715520324.501,0.0,0.0,0.0,0.0
1715520324.752,0.0,3.8,0.0,0.0
1715520325.002,7.4,0.0,3.8,4.0
1715520325.253,29.0,4.0,3.8,0.0
1715520325.503,17.9,0.0,0.0,0.0
1715520325.754,30.3,0.0,0.0,0.0
1715520326.004,20.7,4.0,7.7,3.8
1715520326.255,25.8,3.8,3.8,4.0
1715520326.506,26.7,0.0,4.0,3.8
1715520326.756,28.1,3.8,0.0,0.0
1715520327.007,30.3,11.1,7.7,4.0
1715520327.257,32.4,10.7,4.0,7.4
1715520327.508,23.3,4.0,3.8,7.7
1715520327.758,33.3,3.8,7.7,3.8
1715520328.009,37.1,14.3,4.0,0.0
1715520328.259,25.8,3.8,0.0,4.0
1715520328.51,36.1,4.0,4.0,3.8
1715520328.761,33.3,3.8,4.0,0.0
1715520329.011,32.4,11.1,7.7,7.7
1715520329.262,29.0,0.0,3.8,0.0
1715520329.512,32.4,7.7,0.0,4.0
1715520329.763,28.1,3.8,7.7,0.0
1715520330.013,28.1,4.0,0.0,0.0
1715520330.264,0.0,3.8,0.0,4.0
1715520330.515,0.0,0.0,0.0,0.0
1715520330.765,3.8,0.0,0.0,0.0
1715520331.016,0.0,0.0,0.0,3.8
1715520331.266,0.0,0.0,0.0,0.0
1715520331.517,0.0,3.8,0.0,0.0
1715520331.768,0.0,0.0,0.0,3.8
1715520332.018,12.0,7.7,0.0,4.0
1715520332.269,34.4,7.7,3.8,0.0
1715520332.519,26.7,4.0,0.0,0.0
1715520332.77,22.2,0.0,0.0,0.0
1715520333.02,29.0,14.3,3.8,0.0
1715520333.271,34.4,7.4,4.0,7.7
1715520333.522,30.0,7.7,4.0,0.0
1715520333.772,21.4,4.0,4.0,7.7
1715520334.023,27.6,0.0,7.7,0.0
1715520334.273,30.0,4.0,0.0,0.0
1715520334.524,24.1,0.0,0.0,4.0
1715520334.774,22.2,4.0,0.0,7.7
1715520335.025,34.4,3.8,7.7,0.0
1715520335.276,34.4,7.7,0.0,0.0
1715520335.526,29.0,4.2,7.7,4.0
1715520335.777,22.2,11.1,0.0,0.0
1715520336.027,37.5,7.7,0.0,0.0
1715520336.278,25.0,4.0,4.0,0.0
1715520336.529,25.0,4.0,0.0,4.0
1715520336.779,25.0,0.0,0.0,0.0
1715520337.03,11.5,3.8,4.0,0.0
1715520337.28,0.0,0.0,0.0,0.0
1715520337.531,0.0,0.0,0.0,0.0
1715520337.781,0.0,0.0,0.0,3.8
1715520338.032,0.0,0.0,0.0,0.0
1715520338.282,0.0,0.0,0.0,0.0
1715520338.533,0.0,0.0,0.0,0.0
1715520338.784,8.3,4.0,4.0,8.0
1715520339.034,26.9,11.1,4.0,0.0
1715520339.285,25.9,0.0,4.0,0.0
1715520339.535,29.6,7.4,8.0,4.0
1715520339.786,28.6,4.0,0.0,7.7
1715520340.036,34.5,4.0,4.2,0.0
1715520340.287,23.1,4.0,0.0,0.0
1715520340.538,17.4,0.0,0.0,0.0
1715520340.788,23.1,0.0,4.0,0.0
1715520341.039,24.0,4.0,0.0,0.0
1715520341.289,23.1,4.0,0.0,0.0
1715520341.54,29.6,4.0,0.0,0.0
1715520341.79,26.9,0.0,4.2,4.2
1715520342.041,23.1,4.0,0.0,0.0
1715520342.291,29.6,4.0,0.0,4.0
1715520342.542,16.7,3.8,0.0,0.0
1715520342.792,20.8,7.7,4.0,0.0
1715520343.043,31.0,11.1,0.0,0.0
1715520343.294,20.8,4.0,0.0,0.0
1715520343.544,25.9,0.0,4.0,4.0
1715520343.795,12.5,3.8,0.0,4.0
1715520344.045,3.8,0.0,0.0,3.8
1715520344.296,0.0,0.0,3.8,0.0
1715520344.546,0.0,0.0,0.0,0.0
1715520344.797,0.0,0.0,0.0,0.0
1715520345.047,3.8,0.0,0.0,0.0
1715520345.298,0.0,0.0,0.0,0.0
1715520345.548,4.2,0.0,0.0,4.0
1715520345.799,25.0,7.7,0.0,7.7
1715520346.05,28.0,4.2,0.0,0.0
1715520346.3,21.7,0.0,0.0,0.0
1715520346.551,25.0,8.0,4.2,4.0
1715520346.801,37.0,0.0,0.0,0.0
1715520347.052,33.3,8.0,4.2,0.0
1715520347.302,35.7,7.7,0.0,0.0
1715520347.553,29.2,8.0,8.0,0.0
1715520347.803,33.3,4.0,4.2,4.0
1715520348.054,28.0,7.7,4.2,4.0
1715520348.304,33.3,8.0,4.2,0.0
1715520348.555,32.0,7.7,0.0,4.0
1715520348.806,30.8,4.2,8.3,4.0
1715520349.056,18.2,4.2,0.0,4.0
1715520349.307,25.0,0.0,4.0,4.0
1715520349.557,34.6,14.3,0.0,0.0
1715520349.808,33.3,0.0,0.0,7.7
1715520350.058,30.8,4.0,4.2,4.0
1715520350.309,30.8,0.0,4.2,0.0
1715520350.559,26.9,4.0,4.0,0.0
1715520350.81,0.0,0.0,0.0,0.0
1715520351.061,3.8,4.0,0.0,4.0
1715520351.311,0.0,0.0,0.0,0.0
1715520351.562,0.0,0.0,0.0,0.0
1715520351.812,3.8,0.0,0.0,0.0
1715520352.063,0.0,0.0,0.0,0.0
1715520352.313,0.0,0.0,0.0,0.0
1715520352.564,25.0,0.0,0.0,0.0
1715520352.815,30.4,0.0,8.0,0.0
1715520353.065,26.1,4.0,4.3,4.2
1715520353.316,30.4,4.2,4.2,4.2
1715520353.566,27.3,7.7,4.2,7.7
1715520353.817,26.1,4.2,0.0,0.0
1715520354.067,27.3,11.1,0.0,4.0
1715520354.318,26.1,0.0,0.0,0.0
1715520354.569,38.5,0.0,4.2,7.7
1715520354.819,23.8,4.0,0.0,0.0
1715520355.07,30.4,4.2,8.0,0.0
1715520355.32,32.0,4.0,0.0,0.0
1715520355.571,31.8,8.0,0.0,11.1
1715520355.822,29.2,4.0,4.2,0.0
1715520356.072,23.8,7.7,8.0,0.0
1715520356.323,22.7,8.0,0.0,0.0
1715520356.573,33.3,0.0,4.3,4.0
1715520356.824,15.0,0.0,0.0,0.0
1715520357.074,30.4,4.0,0.0,0.0
1715520357.325,20.0,4.0,4.2,0.0
1715520357.575,8.0,0.0,0.0,7.4
1715520357.826,0.0,0.0,0.0,0.0
1715520358.076,0.0,0.0,0.0,0.0
1715520358.327,3.8,0.0,0.0,0.0
1715520358.577,0.0,0.0,0.0,0.0
1715520358.828,3.8,0.0,4.0,0.0
1715520359.079,4.0,0.0,0.0,0.0
1715520359.329,16.7,4.0,4.0,0.0
1715520359.58,28.6,4.2,8.0,0.0
1715520359.83,28.6,0.0,0.0,0.0
1715520360.081,21.1,0.0,0.0,8.0
1715520360.331,31.8,4.2,0.0,0.0
1715520360.582,21.1,4.2,0.0,4.2
1715520360.832,42.3,11.5,4.2,4.2
1715520361.083,42.3,4.2,4.2,4.2
1715520361.334,28.6,0.0,12.0,0.0
1715520361.584,31.8,14.8,0.0,0.0
1715520361.835,34.8,4.2,0.0,0.0
1715520362.085,28.6,0.0,0.0,0.0
1715520362.336,34.8,4.2,0.0,0.0
1715520362.586,28.6,4.2,4.2,0.0
1715520362.837,37.5,11.5,4.2,4.2
1715520363.087,28.6,4.2,11.5,4.2
1715520363.338,31.8,0.0,0.0,0.0
1715520363.589,25.0,4.2,4.3,0.0
1715520363.839,28.6,0.0,11.5,4.2
1715520364.09,31.8,14.8,8.0,0.0
1715520364.34,9.1,0.0,0.0,0.0
1715520364.591,0.0,0.0,0.0,0.0
1715520364.841,0.0,0.0,0.0,0.0
1715520365.092,4.0,0.0,0.0,0.0
1715520365.343,0.0,0.0,0.0,0.0
1715520365.593,0.0,3.8,0.0,4.0
1715520365.844,0.0,0.0,0.0,0.0
1715520366.094,8.7,7.7,4.0,0.0
1715520366.345,41.7,8.0,4.2,4.2
1715520366.595,38.1,4.3,8.0,0.0
1715520366.846,41.7,4.2,0.0,0.0
1715520367.097,38.1,21.4,4.2,4.2
1715520367.347,31.6,4.2,4.2,0.0
1715520367.598,39.1,4.3,4.3,4.3
1715520367.848,31.6,0.0,0.0,0.0
1715520368.099,30.0,4.2,8.0,0.0
1715520368.35,35.0,4.3,0.0,4.2
1715520368.6,35.0,8.3,8.3,4.3
1715520368.851,33.3,0.0,4.2,0.0
1715520369.101,38.1,11.5,4.2,4.2
1715520369.352,27.8,0.0,0.0,0.0
1715520369.602,27.8,8.0,4.2,0.0
1715520369.853,36.4,4.3,4.2,0.0
1715520370.103,35.0,0.0,11.5,0.0
1715520370.354,26.3,8.3,4.2,0.0
1715520370.605,27.8,4.2,4.2,0.0
1715520370.855,22.2,0.0,0.0,0.0
1715520371.106,23.8,4.2,4.2,0.0
1715520371.356,0.0,3.8,0.0,0.0
1715520371.607,0.0,0.0,0.0,0.0
1715520371.857,0.0,0.0,0.0,0.0
1715520372.108,0.0,0.0,0.0,0.0
1715520372.359,0.0,0.0,0.0,0.0
1715520372.609,0.0,0.0,0.0,0.0
1715520372.86,4.2,3.8,0.0,0.0
1715520373.11,36.8,18.5,4.3,0.0
1715520373.361,36.8,20.7,4.3,4.3
1715520373.612,50.0,20.7,8.3,4.3
1715520373.862,40.0,14.8,4.3,4.3
1715520374.113,45.5,4.2,12.0,0.0
1715520374.363,45.8,4.2,0.0,4.3
1715520374.614,40.0,4.2,4.3,4.3
1715520374.865,45.5,4.2,0.0,0.0
1715520375.115,40.0,11.5,0.0,0.0
1715520375.366,36.8,4.2,4.3,0.0
1715520375.616,35.3,8.3,13.0,4.3
1715520375.867,33.3,0.0,12.0,0.0
1715520376.117,40.0,18.5,8.3,4.3
1715520376.368,33.3,8.0,0.0,0.0
1715520376.618,33.3,8.0,4.3,0.0
1715520376.869,25.0,4.2,0.0,0.0
1715520377.12,52.2,4.2,12.0,4.3
1715520377.37,29.4,11.5,0.0,0.0
1715520377.621,36.8,11.5,4.3,0.0
