Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1715196271918
Timestamp end: 1715197172699

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      375.1   270.1   148.8   197.0   211.4   333.7   420.2   468.8   501.3   534.8   574.4   630.1   776.9  2512.6  8764.0  30807.2    30755
read      392.3   238.7   148.8   201.9   217.7   354.9   436.2   483.5   516.1   552.3   599.5   680.9   867.1  1774.6  9201.9  42780.4    42889
read      454.1   516.9   148.8   211.6   232.9   393.5   473.8   525.1   565.0   618.8   694.8   826.5  1187.8  7567.7 24456.9  93424.2    93552
read      397.6   296.2   148.8   201.9   218.0   354.5   434.2   480.3   513.3   553.8   610.4   707.4   961.3  2802.4 10338.3  65837.6    65694
read      387.8   230.1   148.8   203.2   218.8   355.4   439.7   485.6   515.1   546.2   586.0   644.8   793.2  1610.2  9011.7  29480.8    29574
read      397.9   213.4   148.8   204.1   220.1   368.0   445.7   488.6   520.5   558.4   610.1   688.6   860.2  1722.9  7904.4  51346.8    51355
read      397.4   232.2   148.8   203.5   219.7   362.2   443.3   488.8   521.5   560.3   613.7   697.4   876.6  1865.5  8351.6  67476.0    67361
read      378.4   244.5   148.8   205.6   220.8   369.6   433.4   462.2   481.0   501.0   526.5   563.8   669.4  3481.0  8543.4  16275.2    16287
read      385.0   228.5   148.8   203.7   219.9   350.7   424.8   466.7   498.1   535.6   585.2   668.9   850.3  1827.3  9941.0  81394.6    81508
read      378.6   193.3   148.8   204.1   220.3   349.6   418.8   457.8   486.9   522.2   569.6   643.4   808.0  1441.3  8228.5  87529.4    87619
read      390.7   198.0   148.8   209.8   228.3   362.0   429.2   468.4   498.4   534.5   583.0   664.7   846.6  1260.3  6935.4  99318.2    99068
read      383.5   195.6   148.8   201.3   216.6   354.6   427.6   469.9   502.2   539.3   585.6   658.7   818.7  1357.1  7734.7  51416.2    51267
read      372.9   361.0   148.8   207.9   223.3   361.4   408.1   430.0   445.3   462.3   484.1   516.2   635.3  4710.9 15397.1  11795.6    11822
read      944.6   859.4   160.7   268.0   308.2   564.9  1142.0  1583.8  1688.6  1797.5  1936.4  2152.8  2970.1  7586.6 26202.3  97544.0    97494
read     1102.1   857.8   160.7   306.7   351.8   730.3  1566.7  1720.4  1815.5  1913.3  2020.3  2381.0  3098.4  6519.4 22876.3  97264.8    97350
