avg,std,min,QPS,target,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,timestamp
387.6,555.8,160.7,7445.8,7434.0,225.9,245.7,357.6,391.6,408.9,422.2,435.6,458.7,495.8,727.9,7929.0,26888.8,0
384.2,349.3,148.8,67119.4,67201.0,206.2,220.1,332.5,402.1,447.8,484.5,531.2,592.1,679.2,969.5,3360.6,12356.6,10
401.7,437.1,148.8,85853.3,85927.0,209.6,225.3,344.1,409.8,451.6,483.8,525.1,583.2,681.6,1512.9,5973.0,13447.6,20
382.9,305.9,148.8,63978.5,63953.0,205.7,219.7,335.4,407.0,453.8,490.7,536.7,595.5,679.4,877.9,2731.1,11149.0,30
386.1,285.8,148.8,31677.5,31595.0,202.4,215.0,332.3,429.7,491.4,530.4,570.9,615.0,671.5,808.6,2547.4,11268.5,40
393.5,397.4,148.8,87845.2,87879.0,209.4,225.0,341.4,406.2,447.6,479.0,518.9,574.7,667.9,1256.3,4044.4,13387.6,50
394.4,638.7,160.7,7359.0,7287.0,228.7,250.9,360.0,393.7,412.0,425.8,441.4,465.0,507.7,786.9,8126.5,31233.1,60
376.5,289.9,148.8,62178.9,62295.0,205.0,218.7,328.6,399.1,446.0,485.1,534.7,594.3,671.9,853.5,2119.7,10317.9,70
364.0,421.1,160.7,6544.2,6561.0,223.8,244.5,341.4,371.9,389.0,400.2,415.1,432.6,465.9,629.8,7573.8,16106.2,80
391.0,422.3,148.8,22395.3,22532.0,201.4,214.2,345.8,446.2,492.5,520.4,548.1,582.0,629.0,750.4,5854.5,16948.3,90
371.8,230.5,148.8,60595.2,60653.0,203.1,215.7,328.3,397.5,442.4,481.1,529.5,588.9,667.1,830.2,1964.7,7137.0,100
412.5,346.9,148.8,58930.9,59076.0,206.2,221.1,337.2,411.2,465.5,511.6,569.4,641.4,804.7,1556.7,3524.6,11431.7,110
416.5,305.2,148.8,60132.3,60154.0,209.0,224.0,340.9,416.0,469.1,513.2,570.2,646.2,832.7,1626.1,2325.0,6897.6,120
388.3,294.4,160.7,22981.4,22964.0,206.0,220.4,353.4,451.1,496.9,524.6,552.2,584.6,630.5,737.9,1750.6,12935.0,130
372.6,409.6,160.7,8201.3,8172.0,223.8,242.1,358.7,393.6,411.6,424.6,437.9,460.5,494.5,595.8,5128.5,20190.2,140
382.9,218.7,148.8,27640.3,27652.0,203.7,217.3,337.6,437.7,492.7,526.1,560.0,596.7,648.2,769.2,1615.2,8755.5,150
384.9,260.0,148.8,37472.0,37594.0,202.9,215.8,335.7,422.0,481.4,524.7,569.7,619.1,681.8,823.6,1756.7,8024.5,160
389.7,287.3,148.8,24345.8,24367.0,203.5,216.5,344.6,448.2,500.1,531.4,563.9,600.2,649.5,771.5,3688.6,10229.1,170
389.9,294.1,148.8,33732.8,33771.0,203.0,216.0,335.0,428.8,490.9,532.1,574.6,620.9,681.9,847.0,3597.5,8837.3,180
373.8,227.0,148.8,84870.7,84944.0,207.9,222.6,335.0,401.2,442.2,473.6,513.1,565.7,646.0,844.7,2121.5,8001.9,190
374.0,251.1,148.8,85598.6,85666.0,207.5,222.2,335.1,400.1,440.5,471.8,510.8,563.2,643.8,842.3,2083.7,10057.8,200
387.3,322.2,148.8,51944.8,51918.0,204.5,218.4,337.6,414.5,464.7,506.2,556.3,616.5,692.3,875.6,2170.9,10752.6,210
386.5,253.9,148.8,34492.0,34406.0,202.9,215.9,336.2,428.1,488.7,529.9,572.5,619.1,680.7,826.6,1696.5,10395.2,220
436.8,369.6,148.8,28674.3,28664.0,205.1,219.4,358.6,476.9,541.9,585.3,637.6,724.0,886.0,1201.1,3912.0,10386.6,230
513.7,568.0,148.8,38291.8,38289.0,210.0,225.4,360.7,506.9,618.4,740.0,872.9,1009.3,1191.7,1558.8,7021.0,27281.6,240
484.2,518.6,160.7,20662.6,20658.0,209.9,225.9,412.7,531.9,607.5,664.7,725.2,792.1,885.8,1145.0,6273.5,28628.6,250
475.6,723.2,160.7,13847.1,13840.0,213.7,230.9,406.6,502.4,554.8,590.5,630.0,679.6,755.7,1505.4,7592.0,32279.3,260
589.2,719.7,148.8,93500.4,93419.0,234.5,262.6,439.6,535.8,610.7,673.6,757.1,952.1,1654.0,2063.5,10179.0,28953.1,270
369.8,233.9,148.8,98337.7,98284.0,211.5,226.9,338.4,397.7,434.1,462.7,497.7,543.6,618.7,787.1,1846.3,7606.0,280
371.2,200.2,148.8,71227.1,71313.0,205.3,219.3,329.9,399.1,442.9,477.3,521.0,576.8,655.0,829.9,2052.6,6739.5,290
394.1,397.6,148.8,42186.9,42089.0,201.9,214.8,331.5,415.8,477.3,524.5,574.2,627.1,695.4,1019.3,3914.8,13597.5,300
390.3,347.7,148.8,46492.1,46458.0,203.1,216.1,335.8,415.2,470.8,516.9,568.6,626.7,697.8,913.3,2886.7,11794.8,310
393.1,453.9,148.8,30753.6,30755.0,202.2,214.9,333.8,435.1,497.9,536.4,575.7,619.0,676.8,862.8,3181.6,22571.8,320
390.0,365.8,148.8,42761.8,42889.0,202.9,215.9,333.0,415.4,475.0,523.5,574.7,629.4,693.5,870.0,3030.8,16283.7,330
369.6,295.7,148.8,93516.3,93552.0,208.9,223.8,332.9,394.1,432.1,462.4,500.1,549.6,630.0,799.6,2126.5,9619.3,340
378.2,306.9,148.8,65751.3,65694.0,204.9,218.5,329.1,399.3,444.7,482.8,531.5,591.8,673.1,867.0,2887.2,10833.8,350
391.0,330.4,148.8,29553.0,29574.0,202.9,216.2,333.7,438.2,500.4,537.0,574.4,615.8,671.0,836.0,3560.0,11917.4,360
382.9,231.3,148.8,51392.1,51355.0,204.7,218.7,334.3,409.1,461.8,506.6,560.0,620.1,691.3,859.8,1814.0,7946.5,370
381.3,280.0,148.8,67297.2,67361.0,206.0,220.0,335.1,406.3,451.7,487.8,533.5,592.0,676.2,877.2,2879.0,9228.3,380
428.5,538.5,160.7,16327.6,16287.0,208.5,223.2,384.6,463.8,504.0,532.5,566.5,614.4,694.9,931.4,7705.1,27771.5,390
629.2,604.4,160.7,81464.1,81508.0,223.1,245.7,424.5,508.6,591.3,706.6,1351.7,1590.1,1758.0,2575.0,4038.5,14853.5,400
376.7,345.9,148.8,87584.4,87619.0,208.2,222.7,333.3,396.5,436.1,467.9,507.3,561.0,642.0,857.7,3698.5,14301.0,410
378.4,320.6,148.8,98990.7,99068.0,212.5,228.2,341.7,401.6,438.2,467.5,503.7,552.1,631.2,812.6,2977.0,12266.8,420
388.7,296.7,148.8,51290.3,51267.0,204.3,217.9,335.6,412.4,466.4,511.6,565.4,625.9,698.6,889.4,2902.1,10803.3,430
384.6,307.9,160.7,11817.8,11822.0,214.9,230.0,374.8,427.9,454.2,471.2,492.3,516.0,551.2,663.4,4259.8,13737.8,440
387.1,368.2,148.8,97528.6,97494.0,213.4,229.2,344.9,407.3,447.3,477.4,515.6,567.1,649.0,860.9,3723.1,14408.7,450
373.6,253.9,148.8,97205.2,97350.0,210.8,226.3,338.9,399.8,436.8,466.4,503.3,550.8,630.0,805.1,2409.3,9105.0,460
385.9,333.4,148.8,55444.4,55460.0,204.4,218.2,334.3,408.6,459.2,501.7,553.3,614.9,688.3,859.3,2862.9,12215.5,470
373.6,272.1,148.8,85935.4,85984.0,208.1,222.6,332.6,397.9,437.4,469.0,507.9,561.1,641.4,836.7,2749.3,9893.7,480
373.5,286.3,148.8,81858.5,82043.0,207.3,221.5,330.6,397.0,437.6,470.4,511.5,566.9,650.2,845.3,2651.3,10576.5,490
382.4,266.9,148.8,52808.7,52873.0,203.8,217.1,332.8,407.4,459.5,503.8,556.9,618.0,688.6,849.1,2048.1,9368.3,500
391.5,302.2,148.8,13916.8,13911.0,211.4,226.4,376.7,439.2,468.6,488.8,509.3,538.3,582.6,748.2,3953.7,12062.7,510
387.9,330.5,148.8,50052.9,49984.0,203.7,217.2,333.6,412.3,466.6,511.6,564.1,622.5,692.7,902.9,2828.7,11650.6,520
372.8,346.9,160.7,9262.2,9274.0,219.1,234.7,361.6,402.5,423.6,436.9,455.1,474.5,508.4,629.2,4427.6,10858.2,530
389.9,420.9,148.8,27166.6,27187.0,200.4,213.2,331.8,436.1,491.7,525.7,559.7,596.8,646.7,801.5,5074.2,15003.0,540
396.4,425.1,160.7,18760.7,18735.0,205.3,219.2,364.5,450.7,490.7,515.9,541.7,575.5,628.1,828.6,3957.3,16972.9,550
555.7,540.6,148.8,86471.5,86505.0,217.9,237.5,400.1,478.8,545.2,612.1,723.8,1394.4,1667.3,2011.4,4002.4,14080.3,560
376.7,334.7,148.8,92986.3,93039.0,209.4,224.3,334.6,396.2,434.0,464.6,503.1,554.4,638.3,868.3,2943.5,13177.7,570
368.7,269.3,148.8,75983.2,75999.0,204.5,217.9,326.3,393.6,435.2,468.6,511.3,568.6,648.2,816.3,2584.8,9161.0,580
386.3,348.3,148.8,32393.0,32324.0,199.8,212.9,328.8,428.0,491.3,532.1,572.7,616.0,670.8,797.5,3327.8,13560.9,590
375.5,334.9,148.8,84313.9,84255.0,207.4,221.7,330.9,395.7,435.1,467.2,507.5,563.1,647.7,862.3,3082.5,12271.7,600
367.6,286.8,148.8,81828.6,81759.0,204.8,218.5,324.0,389.1,429.3,461.0,501.7,556.4,639.4,846.0,2615.7,9980.0,610
381.4,217.9,148.8,37382.9,37291.0,200.1,213.1,328.4,417.3,480.4,526.2,572.5,620.9,679.8,831.2,1774.1,7809.7,620
