#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      434.1   465.8   187.4   268.2   301.6   403.5   436.3   456.4   469.1   489.1   512.8   573.5   944.2  7584.8 18320.0   4935.6     5000  1713456126576  1713456132033
read      438.0   295.5   173.5   241.0   260.3   433.9   486.4   511.9   531.7   552.0   581.0   624.3   743.7  4124.5 13431.2  10005.0    10000  1713456133538  1713456138925
read      457.2   268.2   173.5   238.2   256.4   448.2   527.3   564.3   588.3   616.1   647.6   699.2   860.1  2550.7  8732.0  14895.4    15000  1713456140430  1713456145751
read      450.6   349.1   173.5   233.0   251.4   420.4   516.3   564.1   594.7   628.6   667.7   723.8   858.2  2638.0 12827.7  20026.2    20000  1713456147257  1713456152593
read      456.5   269.7   173.5   233.3   252.4   419.5   514.4   569.4   606.8   648.5   698.6   767.1   914.8  2096.7 10089.3  25016.6    25000  1713456154097  1713456159429
read      472.9   277.0   173.5   234.7   255.6   435.8   531.9   588.2   629.1   677.2   735.0   812.9   990.1  1411.2 12431.4  30025.2    30000  1713456160934  1713456166245
read      473.5   243.7   173.5   236.9   257.6   435.4   529.7   586.1   628.0   677.6   738.1   821.7  1005.1  2261.9  7150.1  34918.2    35000  1713456167750  1713456173045
read      494.6   286.8   173.5   241.7   264.4   458.7   556.4   612.6   653.8   703.8   766.5   858.6  1054.5  1700.7 10474.8  39836.8    40000  1713456174550  1713456179870
read      476.4   285.4   173.5   235.0   256.4   437.5   531.1   586.3   627.9   677.7   740.0   835.4  1032.8  2526.7 10119.8  45052.4    45000  1713456181375  1713456186686
read      463.7   242.6   173.5   232.2   252.4   426.2   518.7   572.1   610.8   657.4   718.7   809.3  1011.3  1893.4  9698.1  50074.0    50000  1713456188191  1713456193511
read      466.0   257.8   173.5   233.2   254.2   425.3   522.0   577.9   618.4   666.5   727.6   820.1  1001.8  1406.7 10462.9  54929.4    55000  1713456195016  1713456200344
read      469.6   227.0   173.5   238.4   260.1   429.4   525.2   581.8   623.3   671.8   731.8   821.9  1001.4  1385.2  7546.7  59827.1    60000  1713456201849  1713456207147
read      472.9   246.6   173.5   237.9   260.8   436.5   525.0   578.1   617.9   665.8   729.4   827.7  1039.5  1362.0  7695.2  64836.0    65000  1713456208652  1713456213961
read      527.4   285.6   173.5   254.5   285.0   482.1   577.9   635.0   679.6   735.5   808.7   934.5  1235.6  2747.1  9847.0  69761.3    70000  1713456215466  1713456220779
read      828.0   673.5   173.5   376.5   456.1   684.6   858.7  1058.5  1145.1  1218.3  1287.7  1384.8  2137.2  8031.2 22782.2  72696.0    75000  1713456222284  1713456227583
read      833.5   411.1   173.5   479.9   524.6   699.7   965.1  1103.7  1159.7  1216.2  1273.1  1358.0  1517.7  3267.7 13919.9  76678.4    80000  1713456229087  1713456234394
read      916.5   477.0   187.4   557.2   599.0   759.5   985.5  1213.2  1286.1  1346.4  1411.9  1487.5  1660.4  5329.7 16213.7  71875.4    85000  1713456235898  1713456241203
read      790.0   402.5   202.4   461.2   494.7   656.8   958.7  1040.3  1084.5  1131.7  1180.6  1255.5  1382.3  3071.8 15537.6  81803.8    90000  1713456242708  1713456248009
read      840.2   450.0   187.4   515.4   550.5   683.5   996.2  1133.4  1185.4  1230.0  1274.2  1347.6  1481.4  3917.0 18174.9  78278.3    95000  1713456249515  1713456254804
read      921.7   458.8   187.4   567.8   606.1   756.1  1015.5  1235.5  1300.9  1355.1  1416.5  1487.6  1641.7  4904.6 16103.7  71526.4   100000  1713456256308  1713456261615
read      922.4   520.4   173.5   564.5   605.4   762.5   944.8  1222.7  1296.7  1354.5  1419.8  1494.0  1674.4  6281.3 18501.4  71677.8   105000  1713456263120  1713456268423
read      867.0   442.7   187.4   531.8   567.6   710.1   986.1  1167.7  1224.5  1274.5  1330.8  1391.9  1540.1  4293.6 15208.1  75963.9   110000  1713456269929  1713456275253
read      945.9   510.0   173.5   590.2   631.1   780.5   920.3  1264.4  1342.2  1407.9  1467.3  1551.1  1710.3  6128.6 18991.8  69812.8   115000  1713456276758  1713456282060
read      833.6   442.4   173.5   514.5   546.2   672.9  1012.9  1129.8  1175.9  1219.6  1262.3  1329.8  1460.3  5887.5 15815.2  79099.6   120000  1713456283566  1713456288879
read      852.7   445.5   173.5   509.8   547.1   706.4   991.3  1129.9  1189.0  1242.4  1300.6  1375.0  1539.6  4529.3 16672.6  77199.4   125000  1713456290384  1713456295692
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.53%,73.37%,100.00%
