timestamp,event,job
0.0,start,scheduler
0.03162693977355957,start,memcached
4.292494058609009,start,vips
60.17359209060669,end,vips
60.49184513092041,start,blackscholes
110.65295314788818,end,blackscholes
110.958811044693,start,canneal
138.02783203125,update_cores,memcached
138.38044595718384,start,dedup
169.9999439716339,end,dedup
171.22326397895813,start,radix
193.7919580936432,update_cores,memcached
193.87224006652832,pause,radix
270.6802899837494,end,canneal
271.0476961135864,start,ferret
334.3198070526123,update_cores,memcached
334.40305614471436,unpause,radix
343.4240040779114,update_cores,memcached
343.4993200302124,pause,radix
479.07471895217896,end,ferret
479.36960196495056,start,freqmine
529.0558569431305,update_cores,memcached
529.1110801696777,unpause,radix
538.1401650905609,end,radix
538.1713409423828,update_cores,freqmine
565.2285630702972,update_cores,memcached
565.3167071342468,update_cores,freqmine
714.2139110565186,end,freqmine
714.7145421504974,end,scheduler
