timestamp,event,job
0.0,start,scheduler
0.03337216377258301,start,memcached
4.301447153091431,start,vips
62.98824715614319,end,vips
63.25072503089905,start,blackscholes
117.40049195289612,update_cores,memcached
117.42603397369385,end,blackscholes
117.75112509727478,start,dedup
118.17481017112732,start,canneal
122.67651104927063,update_cores,memcached
122.74380397796631,pause,dedup
235.70847296714783,update_cores,memcached
235.77154207229614,unpause,dedup
267.74254298210144,end,dedup
269.0180809497833,start,radix
273.5250840187073,update_cores,memcached
273.6208381652832,pause,radix
300.7446520328522,end,canneal
301.0583460330963,start,ferret
395.9524519443512,update_cores,memcached
396.02429604530334,unpause,radix
405.0526239871979,update_cores,memcached
405.1343250274658,pause,radix
518.1224429607391,end,ferret
518.4016499519348,start,freqmine
559.050812959671,update_cores,memcached
559.1278901100159,unpause,radix
563.632504940033,update_cores,memcached
563.7278139591217,pause,radix
703.8214280605316,update_cores,memcached
703.8868751525879,unpause,radix
712.9090399742126,update_cores,memcached
713.004487991333,pause,radix
776.2680859565735,end,freqmine
776.3096809387207,unpause,radix
776.3537981510162,update_cores,radix
789.8919651508331,end,radix
790.3921821117401,end,scheduler
