avg,std,min,ts_start,ts_end,QPS,target,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999
499.1,653.9,187.4,1713454485465,1713454490943,4923.8,5000,282.0,323.5,433.1,472.4,498.6,518.3,544.7,586.7,706.7,1533.7,11379.1,19794.5
491.3,464.5,173.5,1713454492450,1713454497850,10030.8,10000,251.4,274.3,469.4,525.9,553.0,575.0,598.5,633.1,702.7,1343.7,5778.0,20489.9
477.8,298.2,173.5,1713454499354,1713454504675,14980.4,15000,243.4,263.7,466.3,546.5,584.5,610.5,637.8,676.7,738.5,942.6,3866.1,11006.2
492.2,313.1,173.5,1713454506180,1713454511505,19950.4,20000,242.5,263.4,458.6,565.0,614.9,647.4,684.2,732.1,805.8,1092.9,3245.0,10553.1
487.8,353.0,173.5,1713454513010,1713454518347,24962.6,25000,238.7,260.2,444.4,554.3,611.0,649.0,691.5,742.5,818.2,993.3,3967.1,14579.4
494.2,277.4,173.5,1713454519852,1713454525179,29939.4,30000,237.9,260.2,452.6,560.6,620.4,662.8,711.7,773.1,864.5,1089.2,1762.9,9754.3
491.2,294.6,173.5,1713454526684,1713454531996,34940.6,35000,239.2,261.1,448.3,550.9,610.4,653.9,706.0,772.3,867.7,1064.0,1938.4,10549.4
486.9,278.2,173.5,1713454533499,1713454538816,40053.6,40000,238.2,259.4,446.9,543.9,601.7,644.2,695.6,762.4,863.0,1066.8,1567.7,11069.6
481.2,274.3,173.5,1713454540321,1713454545638,44880.4,45000,238.1,259.4,441.3,538.6,593.3,635.7,685.4,747.7,851.6,1056.4,1516.4,10602.9
494.7,245.9,173.5,1713454547142,1713454552451,49893.2,50000,239.3,263.0,450.9,548.6,607.9,651.6,706.5,780.3,896.8,1160.3,1804.1,6810.3
482.0,266.5,160.7,1713454553957,1713454559272,55186.0,55000,240.3,262.5,438.7,535.6,591.6,633.1,683.8,748.3,852.8,1084.8,1775.3,10010.9
510.8,269.3,173.5,1713454560777,1713454566089,60100.2,60000,247.9,274.2,463.7,559.2,616.7,660.9,717.3,794.2,919.6,1262.4,2255.9,8653.5
512.6,298.4,173.5,1713454567594,1713454572920,65036.4,65000,245.5,271.2,459.3,555.3,612.1,654.9,709.6,784.8,912.7,1447.5,3373.1,6967.7
496.9,252.6,173.5,1713454574427,1713454579735,69848.6,70000,250.5,277.6,459.1,548.2,602.6,642.0,692.0,756.7,856.0,1074.9,1706.6,9736.4
827.9,504.6,173.5,1713454581239,1713454586552,74151.6,75000,416.1,477.3,699.8,945.7,1051.3,1111.1,1172.3,1246.8,1358.3,2025.9,6614.5,15823.7
877.9,463.3,173.5,1713454588057,1713454593374,74431.0,80000,519.1,562.2,731.1,1011.7,1156.2,1218.4,1273.3,1335.9,1415.7,1593.0,3944.6,17478.3
851.6,456.3,173.5,1713454594880,1713454600194,76483.3,85000,479.5,528.0,714.0,980.9,1111.2,1172.6,1230.5,1289.0,1373.4,1606.3,5627.7,15325.6
898.0,492.2,202.4,1713454601699,1713454607002,73498.6,90000,537.1,584.0,744.1,955.6,1187.4,1258.4,1320.1,1376.8,1461.1,1615.9,6289.2,18372.4
879.6,451.1,173.5,1713454608506,1713454613811,74497.2,95000,475.3,533.5,747.4,1010.2,1133.3,1199.6,1261.4,1333.1,1434.9,1792.6,4702.0,16316.8
855.9,477.9,187.4,1713454615315,1713454620620,76644.6,100000,456.1,516.9,730.8,982.5,1102.3,1168.0,1232.1,1300.0,1389.6,1692.1,4617.6,17807.7
876.4,503.2,173.5,1713454622125,1713454627432,75208.6,105000,492.4,541.1,747.7,999.4,1125.2,1192.7,1258.6,1334.1,1433.2,1615.6,4315.2,20321.8
858.4,463.0,173.5,1713454628937,1713454634248,76577.6,110000,491.3,540.5,713.2,991.1,1124.0,1186.3,1242.2,1303.7,1382.5,1661.4,5112.2,17696.8
898.8,500.5,187.4,1713454635753,1713454641066,73367.7,115000,555.5,594.4,731.5,1038.8,1214.6,1270.3,1320.2,1368.1,1443.5,1580.6,4731.8,20281.3
896.9,517.5,187.4,1713454642570,1713454647872,73588.0,120000,515.7,566.0,753.3,990.8,1156.7,1233.9,1303.9,1372.1,1465.8,1674.2,5903.2,19585.6
870.6,526.4,187.4,1713454649376,1713454654673,75910.6,125000,521.8,562.8,720.8,964.2,1150.4,1217.5,1273.6,1333.8,1406.0,1567.2,4868.1,23026.5
