Random waveform, supplied seed
Total number of intervals = 100 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187)
Average QPS expected = 50833
Timestamp start: 1715201300872
Timestamp end: 1715202201391

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      476.4   539.7   148.8   204.0   219.2   341.9   434.8   514.2   581.0   687.1   937.9  1249.5  1719.3  6312.6 18233.1  51439.6    51355
read      371.9   282.8   148.8   203.8   217.5   335.1   401.2   440.6   471.2   511.8   560.5   629.7   784.0  2925.4 11290.0  67257.6    67361
read      375.4   309.4   148.8   207.0   221.2   356.9   422.0   451.4   469.7   492.0   517.2   550.4   680.7  4306.0 11857.4  16320.9    16287
read      367.3   293.4   148.8   204.3   218.7   330.3   395.1   433.3   462.7   498.9   544.7   614.4   764.3  3200.8  9388.4  81328.3    81508
read      362.7   259.8   148.8   204.5   218.8   329.1   392.2   429.3   457.7   492.8   537.6   604.7   745.9  2464.8 10330.7  87578.9    87619
read      365.8   258.9   148.8   207.8   223.3   335.6   395.1   430.6   457.8   491.3   534.9   599.9   742.8  2386.0  8851.2  99143.8    99068
read      373.6   266.0   148.8   202.6   216.3   335.3   400.8   443.8   479.8   525.8   576.0   639.8   794.9  1962.9  8662.7  51282.9    51267
read      364.1   304.2   148.8   207.8   222.2   355.0   400.3   421.9   435.6   453.0   470.8   505.4   619.6  4123.2 12714.7  11811.7    11822
read      368.8   355.9   148.8   207.3   222.6   334.8   395.0   430.5   457.7   491.1   534.6   599.6   755.0  3305.4 14904.9  97319.9    97494
read      368.8   243.2   148.8   208.4   223.8   336.6   397.4   433.4   461.4   495.9   540.6   609.6   786.1  2197.4 10657.0  97297.3    97350
read      372.2   233.8   148.8   203.5   217.1   335.6   400.5   441.7   475.8   522.2   574.2   639.9   779.7  1991.0  8094.0  55498.1    55460
read      367.2   269.6   148.8   205.6   220.2   332.4   396.7   434.5   463.5   499.6   545.4   616.5   777.4  2427.2 11887.5  86094.3    85984
read      366.2   239.5   148.8   204.6   218.9   331.8   397.1   435.6   465.2   501.9   548.1   618.9   765.8  2404.5  7436.4  82186.0    82043
read      372.2   227.4   148.8   203.3   217.0   333.0   398.6   441.6   478.6   526.2   578.0   641.9   794.0  2093.0  8160.7  52856.2    52873
read      371.8   252.7   160.7   208.9   223.0   360.2   417.3   443.3   460.1   478.9   502.6   538.1   650.4  3778.3  9423.4  13887.4    13911
read      373.7   273.6   148.8   203.8   217.7   334.6   400.9   445.9   483.7   530.1   579.3   641.6   772.3  1948.6  9060.7  49915.0    49984
read      384.6   617.1   160.7   216.2   232.1   353.3   390.9   409.1   422.6   436.2   458.3   494.8   912.0  9004.8 31389.0   9284.4     9274
read      377.6   364.3   148.8   202.6   215.7   327.9   423.6   471.7   504.5   535.1   568.0   612.3   740.5  3979.1 15407.5  27158.1    27187
read      368.6   268.2   148.8   204.2   217.5   347.4   425.3   458.4   479.5   502.6   528.5   561.2   637.2  3200.5 11719.6  18769.4    18735
read      358.4   271.4   148.8   204.9   219.1   326.2   388.2   424.1   451.7   486.1   532.3   596.1   726.9  2045.7 12918.4  86608.6    86505
read      358.7   291.1   148.8   205.0   219.4   325.4   384.7   419.8   446.6   480.0   525.9   591.7   735.3  2383.1  9991.5  93228.1    93039
read      364.0   333.2   148.8   203.3   216.7   325.7   389.9   428.0   457.8   495.9   545.1   616.0   747.9  2531.3 12986.8  76097.4    75999
read      447.3   397.8   148.8   203.6   218.3   357.7   473.8   542.2   591.3   671.4   796.5   956.4  1233.2  4218.0 12177.1  32419.3    32324
read      537.6   546.9   148.8   213.8   232.9   392.4   459.4   511.3   564.4   651.6  1338.5  1652.3  2185.8  4245.6 13629.9  84200.1    84255
