avg,std,min,ts_start,ts_end,QPS,target,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999
461.9,419.9,187.4,1713456698970,1713456704430,4999.4,5000,274.7,311.1,423.7,463.5,488.3,506.3,533.5,571.4,646.1,1283.6,6365.7,17923.5
466.5,355.4,173.5,1713456705939,1713456711337,9959.6,10000,245.6,267.9,458.9,515.3,543.4,564.1,587.0,618.1,667.9,902.8,4526.4,17581.3
493.8,301.3,173.5,1713456712842,1713456718179,14861.2,15000,245.1,266.5,470.1,557.6,598.1,625.9,658.1,698.8,780.7,1322.1,3533.8,12146.8
488.4,325.7,173.5,1713456719684,1713456725016,20040.8,20000,242.1,263.3,454.7,561.3,612.6,644.9,682.3,728.5,798.2,1050.2,3126.1,12906.1
490.9,319.0,173.5,1713456726521,1713456731844,24956.6,25000,243.2,264.3,441.0,550.2,609.9,648.6,691.3,744.2,826.1,1106.8,4144.8,10877.1
480.0,249.9,160.7,1713456733349,1713456738674,29914.2,30000,240.5,261.7,439.9,540.5,600.3,640.7,689.5,746.7,832.7,1005.3,1539.7,8167.1
478.5,269.8,160.7,1713456740179,1713456745489,35082.9,35000,235.9,256.9,439.6,535.5,593.9,635.2,685.4,746.8,838.9,1040.0,1626.2,9551.5
467.3,227.1,173.5,1713456746994,1713456752293,40083.8,40000,235.3,255.0,432.3,525.0,579.5,619.2,666.4,726.9,811.9,983.1,1401.5,7673.4
478.2,263.2,173.5,1713456753798,1713456759099,45059.8,45000,236.2,256.7,436.6,531.3,587.0,628.3,679.2,744.4,849.3,1094.8,2213.7,9419.0
480.7,278.5,160.7,1713456760604,1713456765915,50268.8,50000,236.7,258.4,435.9,533.7,590.6,632.3,683.0,749.7,854.9,1114.9,2102.9,10816.1
475.7,219.3,173.5,1713456767420,1713456772723,55093.8,55000,238.1,260.5,437.9,532.8,588.1,629.0,677.9,740.5,837.3,1038.8,1491.3,6527.9
486.4,257.1,160.7,1713456774228,1713456779541,59985.2,60000,241.1,264.4,450.0,541.8,595.5,635.7,685.2,747.7,846.9,1074.2,1815.1,10126.9
483.5,255.1,160.7,1713456781047,1713456786356,64872.0,65000,240.8,265.9,448.5,538.5,590.0,628.6,676.8,739.4,835.9,1029.6,1472.6,9839.4
468.1,221.1,173.5,1713456787860,1713456793173,70021.6,70000,240.6,264.2,431.2,518.6,573.3,613.0,658.9,717.3,802.7,999.7,1562.0,7602.9
738.0,408.9,173.5,1713456794678,1713456799981,74622.4,75000,339.6,412.1,644.0,777.3,943.3,1038.0,1119.2,1196.8,1286.2,1450.2,2542.2,14571.0
815.1,396.2,187.4,1713456801486,1713456806787,77573.4,80000,470.8,511.8,684.5,966.0,1068.1,1120.8,1170.5,1229.2,1303.6,1473.2,3937.0,13881.3
862.8,430.2,187.4,1713456808292,1713456813603,75819.4,85000,504.6,547.8,727.6,999.0,1128.5,1190.7,1248.8,1313.8,1392.0,1574.0,3949.7,15768.5
857.2,433.7,173.5,1713456815107,1713456820417,76410.4,90000,493.3,540.7,710.1,1003.3,1132.0,1191.5,1243.7,1301.9,1379.3,1608.8,4591.3,15353.9
857.2,442.6,202.4,1713456821921,1713456827220,76811.0,95000,501.3,538.7,724.3,977.8,1114.0,1177.8,1246.3,1321.4,1414.9,1588.2,3897.8,15861.8
851.6,444.4,173.5,1713456828725,1713456834033,77143.0,100000,511.9,550.5,703.5,991.1,1134.9,1194.9,1247.1,1304.4,1373.6,1513.9,2909.9,15294.6
847.1,445.3,173.5,1713456835538,1713456840839,77665.6,105000,516.7,552.7,692.1,984.3,1133.0,1189.6,1238.6,1289.9,1367.5,1517.6,3577.7,17222.3
922.4,449.2,173.5,1713456842344,1713456847654,71286.4,110000,567.3,607.4,767.7,972.6,1232.1,1304.4,1360.5,1424.5,1495.4,1671.9,2571.1,16160.2
880.5,442.7,202.4,1713456849159,1713456854470,74714.4,115000,531.8,570.8,726.2,1013.3,1177.5,1234.8,1288.8,1346.7,1424.8,1589.6,3910.0,15595.9
858.3,431.0,173.5,1713456855975,1713456861282,76563.5,120000,523.4,559.5,705.8,999.0,1150.3,1208.2,1258.1,1315.6,1381.0,1526.5,2677.7,16894.8
839.7,413.0,187.4,1713456862787,1713456868103,78131.2,125000,498.9,534.7,691.9,1007.2,1117.3,1167.2,1218.9,1272.0,1352.7,1494.9,3056.0,15822.0
