Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1714850249710
Timestamp end: 1714851150355

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      405.7   525.8   160.7   217.8   234.8   365.4   409.9   432.9   451.1   470.9   500.1   546.9  1394.3  9559.6 18452.0   7495.6     7434
read      537.7  1093.3   148.8   213.3   229.8   355.7   438.9   496.0   544.1   622.3   811.2  1289.9  2978.0 12978.0 35275.1  67137.8    67201
read      368.8   230.7   148.8   207.2   221.7   332.3   393.9   430.7   459.3   494.7   541.8   618.0   850.9  3023.7  8240.7  85764.4    85927
read      395.0  1422.3   148.8   204.5   217.7   327.0   392.2   432.1   465.2   506.2   559.3   638.3  1229.6  5707.0 30964.7  63893.4    63953
read      392.7   446.5   148.8   202.8   215.1   325.0   413.7   469.1   504.6   540.1   581.2   637.9  1143.7  5065.9 16085.7  31530.6    31595
read      408.3   490.6   148.8   210.8   226.5   347.1   410.5   450.4   481.2   520.6   575.2   671.1  1634.9  6721.9 20818.0  87642.0    87879
read      361.3   483.6   160.7   216.3   232.7   334.1   364.3   380.6   392.7   404.8   426.0   461.8   953.1  5883.2 23292.4   7386.6     7287
read      378.1   239.9   148.8   208.4   222.4   340.0   410.0   453.5   487.1   528.4   580.1   657.3   825.8  2026.3  7971.1  62133.2    62295
read      545.9  1692.9   160.7   214.5   232.9   353.5   402.1   429.8   450.2   473.0   507.7   619.9  5596.5 31585.7 44014.9   6571.0     6561
read      574.0  1258.8   148.8   206.6   220.9   398.9   521.8   607.9   678.8   747.5   830.9   974.9  4540.3 24130.9 34481.7  22495.4    22532
read      475.2   503.7   148.8   208.0   223.4   335.0   418.8   491.5   556.2   673.1   964.1  1322.5  1839.2  5428.9 14134.7  60669.2    60653
