type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,2420.6,2678.1,173.5,1421.2,1480.7,1612.9,2076.6,2183.8,3735.4,3859.7,3951.3,4042.8,14075.6,33588.3,48396.6,5046.0,5000
read,1958.2,1727.0,173.5,307.8,368.2,1658.2,1799.1,2135.1,2482.9,3612.2,3821.2,3966.3,4947.9,24949.0,34803.7,9983.0,10000
read,1568.4,1373.9,173.5,294.6,346.2,1611.0,1744.6,1861.8,2016.4,2293.4,3276.4,3682.0,4045.5,19033.7,29759.5,14956.1,15000
read,1340.5,1167.3,173.5,286.7,337.1,1514.4,1707.4,1819.3,1910.8,2048.8,2426.1,3164.0,4024.7,13944.1,25340.2,20005.8,20000
read,1220.9,1131.8,160.7,292.8,340.8,762.1,1636.1,1754.8,1866.6,1993.8,2188.8,2809.6,5549.7,12724.1,28301.7,25006.2,25000
read,2774.2,3561.2,187.4,891.6,971.6,1219.3,2146.6,4813.6,4947.8,5081.9,5650.3,6390.2,16074.8,36311.9,43417.3,26625.4,30000
read,2828.8,3762.8,187.4,913.5,983.2,1219.3,2110.4,4801.7,4951.3,5100.8,5820.5,8879.3,23639.1,37178.9,51410.9,26525.6,35000
read,2760.8,3592.2,255.0,887.9,957.5,1174.6,2111.0,4822.5,4950.1,5077.7,5652.6,6319.3,19391.5,36849.4,43906.8,27131.0,40000
read,2727.9,3498.3,218.6,882.3,954.8,1170.8,2087.4,4805.6,4938.6,5071.7,5645.7,6375.7,15316.5,35983.8,44740.1,27224.6,45000
read,2695.7,3592.5,321.2,879.6,940.6,1144.8,2025.3,4795.3,4921.4,5047.5,5574.5,6280.7,17815.5,37329.1,43763.9,27847.2,50000
read,2780.4,3567.1,218.6,905.8,970.0,1203.5,2145.1,4827.7,4954.0,5080.4,5615.1,6321.8,19336.4,36375.7,42521.9,26860.0,55000
