timestamp,event,job
0.0,start,scheduler
0.033308982849121094,start,memcached
4.395371913909912,start,vips
55.44627094268799,end,vips
55.75966691970825,start,blackscholes
110.35320997238159,end,blackscholes
110.63585782051086,start,canneal
128.676362991333,update_cores,memcached
128.97288990020752,start,dedup
138.00450897216797,update_cores,memcached
138.07828283309937,pause,dedup
278.17309284210205,end,canneal
278.571163892746,start,ferret
314.71256279945374,update_cores,memcached
314.7818307876587,unpause,dedup
341.87352085113525,update_cores,memcached
341.9030168056488,end,dedup
481.82907700538635,end,ferret
482.1244559288025,start,freqmine
500.1644217967987,update_cores,memcached
501.4947509765625,start,radix
506.00061297416687,update_cores,memcached
506.1037428379059,pause,radix
673.2888000011444,update_cores,memcached
673.3594617843628,unpause,radix
709.4822218418121,end,radix
709.5274767875671,update_cores,freqmine
714.0364170074463,update_cores,memcached
714.0904049873352,update_cores,freqmine
723.1115097999573,end,freqmine
723.6121068000793,end,scheduler
