avg,std,min,QPS,target,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,timestamp
359.9,437.5,160.7,7455.8,7434.0,219.0,235.2,334.7,366.1,382.4,393.7,405.2,424.8,456.3,690.1,6624.6,16304.7,0
364.3,371.4,148.8,67224.8,67201.0,202.4,214.6,316.8,372.3,406.8,436.3,478.6,538.8,619.3,1067.5,4920.6,11598.9,12
349.3,303.5,148.8,85922.8,85927.0,203.2,215.7,314.3,369.9,401.6,427.1,459.5,505.6,579.3,727.5,2751.3,11366.1,24
352.3,246.9,148.8,63976.8,63953.0,201.5,213.8,316.6,371.8,406.6,436.9,480.5,540.2,612.2,733.6,2071.9,8055.5,36
376.6,383.8,148.8,31713.4,31595.0,202.3,214.7,316.1,405.6,461.7,499.7,537.0,575.8,628.3,902.3,4591.1,12747.4,48
337.8,180.4,148.8,87835.8,87879.0,203.2,215.5,310.1,363.8,395.1,419.6,450.9,495.7,564.8,680.3,1475.2,7280.9,60
353.8,427.4,160.7,7286.1,7287.0,217.0,233.7,329.1,360.2,375.7,388.0,400.3,419.8,453.3,646.2,7040.5,18455.1,72
347.7,208.3,148.8,62327.1,62295.0,199.5,212.1,313.0,367.5,402.4,433.5,477.2,537.5,606.8,718.4,1859.8,7948.6,84
350.5,441.2,160.7,6588.3,6561.0,216.3,233.1,323.6,353.1,368.5,379.6,393.4,409.9,442.6,679.1,7347.9,15695.9,96
369.4,299.7,148.8,22601.0,22532.0,204.2,217.3,329.5,420.3,460.4,485.9,512.3,540.2,579.0,692.7,3224.5,12064.2,108
351.8,198.5,137.8,60649.3,60653.0,203.6,216.4,319.5,375.1,412.0,443.2,487.1,543.5,609.2,709.8,1273.4,8121.8,120
407.1,377.2,148.8,58984.4,59076.0,204.5,218.7,328.0,396.6,449.6,497.5,556.9,636.2,868.1,1497.2,3508.0,15475.5,132
353.4,187.5,148.8,60116.0,60154.0,202.8,215.8,320.2,377.9,415.5,447.6,491.5,547.0,613.5,723.4,1466.8,7904.0,144
366.1,277.9,148.8,23007.9,22964.0,203.8,216.6,326.6,417.7,459.2,486.1,514.1,543.1,582.0,670.1,3059.9,12564.5,156
357.8,330.3,160.7,8182.7,8172.0,218.3,233.6,340.5,375.2,392.5,403.4,418.9,435.1,466.5,637.8,5053.6,12376.4,168
361.3,256.5,148.8,27565.5,27652.0,202.0,214.1,314.9,406.5,456.9,489.4,522.6,555.6,594.6,683.8,1991.6,9668.5,180
361.3,217.3,148.8,37592.7,37594.0,202.1,214.8,315.0,389.0,443.3,484.3,528.2,571.8,624.7,730.2,1822.2,7891.3,192
370.0,265.9,148.8,24426.0,24367.0,203.3,215.9,324.7,421.3,466.7,496.7,526.7,558.1,599.5,749.7,2108.1,10426.1,204
361.2,240.9,148.8,33668.2,33771.0,202.2,214.4,312.8,394.4,450.4,488.9,528.9,568.3,617.3,715.9,1594.0,8108.9,216
347.8,205.7,148.8,84849.1,84944.0,203.4,216.2,317.2,374.1,406.8,432.6,465.4,511.6,583.6,718.4,1933.4,8272.8,228
348.5,214.9,148.8,85611.8,85666.0,202.9,215.8,317.4,374.4,407.3,433.1,466.1,512.9,585.1,723.3,1997.4,8059.9,240
406.2,342.1,148.8,51994.8,51918.0,203.4,216.8,325.3,396.3,453.5,505.6,567.1,645.0,916.5,1453.6,2232.6,12371.7,252
366.1,232.1,148.8,34385.8,34406.0,204.5,218.3,316.9,398.9,455.9,495.9,535.6,575.6,625.2,726.5,1736.5,9279.4,264
373.5,278.3,148.8,28735.3,28664.0,203.9,217.7,321.8,416.0,467.9,502.0,534.8,569.7,617.3,800.5,2753.5,10049.5,276
360.9,281.2,148.8,38265.3,38289.0,199.8,212.3,309.2,381.3,435.4,476.4,522.1,566.8,620.1,752.6,3540.0,10077.9,288
379.0,393.9,148.8,20689.5,20658.0,204.4,217.3,338.8,431.0,469.8,495.8,522.7,550.4,589.3,688.7,4854.0,13664.1,300
390.1,312.1,160.7,13808.2,13840.0,215.5,229.4,376.4,440.4,467.3,486.3,506.0,531.8,567.8,668.9,4115.4,12017.9,312
