#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      454.3   611.4   187.4   269.3   303.5   414.3   450.9   469.9   487.2   505.6   535.6   592.6  1234.8 10181.3 27393.2   4951.0     5000  1713454792074  1713454797517
read      461.2   572.9   187.4   240.3   260.7   444.1   500.7   529.4   547.6   571.5   597.8   640.5   817.4  6793.2 35687.8  10001.4    10000  1713454799024  1713454804405
read      456.7   312.1   173.5   235.8   253.9   443.5   524.6   563.6   588.4   616.4   647.6   694.5   839.7  3833.6 12633.9  14946.8    15000  1713454805909  1713454811234
read      467.2   279.1   173.5   233.3   252.4   442.0   539.1   589.1   622.6   658.9   700.2   759.4   889.9  1625.6 10517.3  20132.9    20000  1713454812739  1713454818071
read      470.1   253.4   173.5   230.4   249.3   431.1   535.3   595.6   636.3   682.2   733.9   801.1   964.5  2260.9  8101.3  24879.0    25000  1713454819577  1713454824916
read      459.6   238.5   173.5   226.9   244.9   419.0   520.4   582.5   626.0   675.2   730.5   802.9   956.4  1409.8  7911.3  30046.4    30000  1713454826421  1713454831748
read      469.8   317.5   173.5   228.4   246.2   422.3   529.3   594.9   643.1   696.2   757.1   843.5  1020.5  1481.0 12197.6  35008.4    35000  1713454833254  1713454838585
read      482.0   277.8   160.7   230.3   248.3   420.2   539.8   612.1   667.7   731.7   806.4   911.9  1150.5  1561.0  9869.5  40078.4    40000  1713454840090  1713454845394
read      478.5   278.9   160.7   228.5   246.3   404.1   526.1   601.7   660.6   730.9   817.3   937.9  1236.7  1785.3  8879.1  44989.6    45000  1713454846900  1713454852207
read      488.0   328.9   173.5   230.5   248.5   396.0   512.9   595.9   662.7   741.6   848.6  1017.0  1426.6  2362.7  9985.3  49983.7    50000  1713454853713  1713454859012
read      507.6   358.2   173.5   236.9   256.7   407.3   524.4   610.3   682.3   772.0   889.2  1081.0  1556.3  2715.3 10712.5  54796.2    55000  1713454860518  1713454865824
read      515.3   357.7   173.5   237.0   256.8   403.0   518.0   604.5   685.2   790.0   932.0  1173.7  1654.0  2902.6  9935.4  60037.6    60000  1713454867329  1713454872633
read      519.9   376.4   173.5   238.5   258.7   399.2   505.7   590.6   674.2   792.8   957.7  1245.7  1782.4  2567.8 10478.3  65055.0    65000  1713454874138  1713454879442
read      583.0   465.7   173.5   248.6   271.8   434.8   571.9   688.8   793.3   931.6  1102.4  1385.0  2020.4  3007.5 14698.3  69915.3    70000  1713454880946  1713454886252
read      754.5   649.4   173.5   270.7   301.3   486.3   760.8   976.7  1115.3  1316.1  1607.6  1959.5  2781.9  4687.1 15364.7  74021.2    75000  1713454887757  1713454893069
read      880.5  1142.5   173.5   315.3   347.6   463.7   768.0  1393.1  1541.5  1644.4  1744.4  1913.1  2948.4 13621.4 34935.4  75026.2    80000  1713454894575  1713454899882
read      927.6  1301.7   173.5   318.9   357.8   493.4   818.7  1444.5  1575.9  1680.5  1794.6  1982.9  2972.8 15851.7 38112.2  72144.4    85000  1713454901388  1713454906703
read      926.0  1264.7   173.5   321.8   359.5   492.2   869.1  1465.3  1585.1  1683.9  1792.0  1964.0  2952.1 16597.0 35967.3  72230.8    90000  1713454908207  1713454913514
read      873.1  1235.9   173.5   316.1   344.6   454.2   695.1  1388.2  1531.1  1632.0  1733.5  1887.9  2905.4 16076.5 35321.6  76521.5    95000  1713454915019  1713454920321
read      894.7  1085.0   173.5   322.8   354.8   479.2   867.7  1458.2  1572.6  1666.4  1763.6  1922.5  2881.2 14441.8 32029.9  74054.9   100000  1713454921827  1713454927133
read      936.6  1245.0   173.5   317.7   353.4   508.8   939.9  1451.1  1579.1  1685.6  1804.3  1987.9  2991.2 16449.0 33226.2  71460.4   105000  1713454928637  1713454933977
read      947.0  1320.2   173.5   318.8   364.5   503.3   878.5  1502.1  1602.7  1702.8  1815.0  1982.4  2945.3 17062.2 35886.5  70683.7   110000  1713454935482  1713454940799
read      897.4  1071.8   173.5   318.7   352.8   481.0   909.7  1468.4  1578.0  1673.0  1775.3  1937.5  2859.3 12725.6 32339.7  73820.3   115000  1713454942304  1713454947618
read      914.4  1070.9   173.5   322.5   359.4   492.3  1012.9  1509.6  1604.1  1694.7  1795.2  1942.7  2863.5 12788.1 32062.4  72534.4   120000  1713454949123  1713454954436
read      872.8  1194.4   173.5   315.8   346.8   457.0   737.5  1363.5  1524.0  1629.1  1733.8  1891.6  2918.8 14220.5 32239.2  76303.4   125000  1713454955940  1713454961244
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.50%,67.68%,100.00%
