Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1715091332930
Timestamp end: 1715092233480

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      379.2   216.3   148.8   200.2   213.7   327.9   431.6   491.3   528.4   565.5   606.0   660.5   769.3  1548.6  8898.6  30768.4    30755
read      379.7   198.0   148.8   202.7   216.2   331.8   415.0   473.2   516.8   564.4   617.0   679.9   802.0  1574.4  6777.2  42992.4    42889
read      372.8   259.1   148.8   210.2   225.3   335.1   396.4   434.0   463.3   499.5   548.5   629.5   834.7  2641.9 10347.1  93342.6    93552
read      371.3   186.0   148.8   205.1   219.1   328.1   397.2   441.7   478.8   528.0   591.4   672.3   828.9  1788.3  4967.4  65658.6    65694
read      387.7   252.3   148.8   201.1   214.4   333.6   443.9   502.9   540.4   577.4   617.7   671.4   787.7  1970.4  8403.0  29568.6    29574
read      379.0   212.1   160.7   203.6   217.0   331.0   406.8   461.1   505.2   559.6   620.1   688.7   829.5  1594.8  8248.3  51319.0    51355
read      378.1   234.4   148.8   205.7   219.7   332.9   403.3   448.3   483.9   530.1   590.6   676.7   884.3  2235.6  6126.7  67372.6    67361
read      383.4   293.3   160.7   206.9   221.3   366.9   440.4   472.2   492.8   514.6   542.0   582.5   681.2  4052.6 10421.8  16353.4    16287
read      367.5   191.3   148.8   206.5   220.7   330.3   396.0   435.7   466.8   505.3   558.0   639.9   814.8  1872.4  6484.1  81466.6    81508
read      361.6   213.3   148.8   206.6   221.0   327.3   389.3   426.8   456.1   492.4   540.9   619.2   780.5  1757.9  8481.2  87697.0    87619
read      375.6   217.8   148.8   213.0   228.8   343.2   402.3   438.6   466.7   501.6   547.4   624.8   811.2  2252.9  8151.3  99067.8    99068
