Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1714841265136
Timestamp end: 1714842165684

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      404.2   736.7   160.7   220.0   235.9   362.7   409.8   431.8   447.3   463.9   486.2   519.6   791.8  8501.5 32203.6   7463.8     7434
read      555.5   516.8   148.8   218.5   237.3   368.9   479.4   589.6   720.0   952.0  1206.8  1589.4  2257.9  3760.6 13456.8  67193.9    67201
read      913.3   741.6   160.7   274.5   324.5   516.9  1373.6  1558.9  1640.0  1710.1  1794.8  1915.2  2847.2  5356.5 17569.0  86030.6    85927
read      792.2   714.0   160.7   261.9   300.8   430.4   622.2  1406.7  1525.8  1621.8  1714.4  1867.7  2697.7  5806.9 16132.6  63969.5    63953
read      499.8   401.7   148.8   206.5   222.0   384.2   523.1   624.0   710.2   817.7   947.6  1144.5  1496.0  3593.1 10225.0  31550.0    31595
read      891.3   821.0   160.7   263.4   303.7   499.7  1144.6  1523.9  1623.2  1705.0  1802.3  1968.1  2937.2  7714.9 19942.8  87920.6    87879
read      483.7  1002.7   160.7   212.6   227.4   356.8   425.8   463.4   490.2   523.1   579.1   960.7  2869.1 12353.7 35376.4   7287.5     7287
read      547.7   595.4   148.8   218.1   236.0   360.4   466.5   566.8   678.2   925.3  1202.8  1526.2  2171.9  6435.8 18057.6  62235.6    62295
read      387.1   385.9   160.7   222.8   242.2   361.5   403.9   426.0   440.6   458.4   479.5   512.5  1272.0  5190.6 14462.6   6539.8     6561
read      443.9   427.9   148.8   213.0   230.3   400.3   492.2   548.6   593.3   641.8   693.5   771.0   949.2  3866.5 12693.6  22484.0    22532
read      415.7   356.2   148.8   206.6   220.5   332.9   405.9   461.8   508.8   571.3   664.9   929.9  1513.1  2875.5  9470.2  60593.5    60653
read      394.3   418.4   148.8   203.4   216.4   331.9   407.0   455.9   495.3   543.0   604.4   692.9  1295.3  5832.9 12802.2  59068.6    59076
read      378.7   237.5   148.8   204.1   217.4   337.8   407.3   451.1   486.2   530.2   585.8   668.9   866.4  2479.7  9031.1  60260.2    60154
read      396.8   423.2   160.7   210.6   224.6   348.9   447.3   490.0   516.0   542.6   575.9   625.3   823.3  6325.7 12725.4  22990.5    22964
read      376.8   484.9   160.7   220.8   235.5   351.2   392.2   411.2   424.7   438.9   459.9   493.6   684.2  6475.4 20275.9   8144.8     8172
read      395.6   224.6   148.8   202.7   216.1   336.4   453.8   505.4   536.6   570.9   614.9   697.0  1061.9  1481.6  7734.3  27758.4    27652
read      381.3   240.6   148.8   204.5   219.1   334.3   421.3   475.6   512.3   549.5   590.8   650.3   802.8  2467.5  8931.6  37583.2    37594
read      387.1   387.4   148.8   209.0   223.3   339.0   440.9   484.9   511.7   538.7   570.8   617.0   743.6  4258.3 15862.9  24365.5    24367
read      371.9   216.3   148.8   203.1   216.6   320.9   412.0   469.2   505.3   541.9   582.6   637.6   762.7  1601.1  8091.7  33786.5    33771
read      356.4   203.7   148.8   202.7   215.4   321.1   384.8   422.0   451.0   487.6   536.1   611.4   767.6  2206.8  7387.5  85132.0    84944
read      361.4   240.7   148.8   204.5   217.6   324.6   388.2   425.3   454.2   490.2   538.0   614.8   790.3  2528.8  8651.2  85495.5    85666
read      369.9   208.3   148.8   200.8   213.6   329.3   403.9   451.7   490.2   535.5   586.2   655.3   784.4  1484.0  7981.6  52010.5    51918
read      385.7   233.2   148.8   205.0   219.7   331.0   425.3   481.1   516.1   550.4   590.2   660.0  1046.4  1945.7  8440.1  34529.5    34406
read      382.7   220.6   148.8   210.0   224.9   340.9   436.0   484.6   514.3   543.6   578.3   629.4   743.8  1520.5  8756.7  28567.7    28664
read      380.1   220.9   148.8   205.2   219.6   336.7   420.3   474.2   512.0   549.9   591.2   651.6   783.6  1534.9  9208.4  38216.3    38289
read      383.4   213.5   148.8   213.7   227.9   361.1   449.0   485.4   507.3   530.9   556.8   593.4   687.5  1483.6  8591.6  20610.3    20658
read      374.9   317.7   148.8   213.5   226.9   367.9   425.4   451.0   467.0   485.7   505.6   539.4   631.8  3936.1 13210.7  13858.4    13840
read      366.7   188.3   148.8   206.5   221.4   335.4   398.9   437.1   466.7   502.7   548.5   624.4   780.7  1685.6  6827.9  93356.1    93419
read      361.8   194.6   148.8   205.3   220.1   330.6   391.7   428.3   456.9   492.0   537.6   611.4   773.0  1817.4  6704.1  98264.7    98284
read      371.7   227.8   148.8   204.0   217.2   334.1   404.9   448.3   480.6   520.4   572.8   652.7   808.8  1921.3  7214.8  71455.5    71313
read      379.9   226.9   148.8   202.9   216.4   336.0   414.6   467.4   506.2   547.8   596.1   666.3   818.4  1738.9  8241.9  42053.1    42089
read      382.1   217.8   148.8   202.7   215.6   339.3   419.8   470.2   509.2   552.4   605.5   679.7   854.2  1656.9  7379.7  46523.7    46458
read      383.1   235.2   148.8   207.7   222.3   338.4   429.2   481.7   514.6   548.2   588.3   645.0   789.0  1734.1  8049.5  30784.2    30755
read      380.7   221.6   148.8   201.2   214.2   337.3   418.9   470.2   508.4   549.6   601.1   673.8   845.5  1693.7  7788.9  42781.8    42889
read      367.9   201.3   148.8   210.2   224.8   336.7   398.2   434.8   463.7   498.9   544.6   619.0   776.6  1846.1  6965.6  93340.6    93552
read      373.3   202.6   148.8   204.5   218.0   336.4   405.3   447.9   481.1   522.6   576.2   656.8   837.2  1919.1  6507.8  65729.3    65694
read      381.6   220.7   148.8   207.0   221.3   337.1   430.2   482.0   514.0   546.3   585.2   639.7   785.0  1734.1  8955.1  29594.2    29574
read      379.1   225.4   148.8   203.4   216.7   340.8   412.9   458.6   494.6   537.8   590.8   668.5   834.6  1729.7  8123.6  51438.6    51355
read      368.7   219.1   148.8   205.4   219.3   332.7   400.4   441.3   472.9   512.9   563.6   638.7   798.8  2015.9  6226.5  67412.5    67361
read      385.1   315.8   148.8   212.9   227.6   370.8   430.0   457.7   476.0   498.2   527.9   584.3   815.0  2754.6 13604.9  16332.4    16287
read      373.1   251.7   148.8   200.3   214.1   330.1   398.0   438.5   470.1   510.6   566.9   656.0   967.5  2543.8  9690.1  81644.6    81508
read      378.7   278.8   148.8   204.9   219.4   334.8   401.2   441.7   472.5   511.1   565.4   652.9   956.8  2942.0  8710.2  87675.5    87619
read      362.2   209.2   148.8   205.5   220.3   331.5   391.4   427.5   455.5   489.9   536.1   611.3   773.8  1646.3  8570.4  99091.2    99068
read      377.1   224.2   148.8   202.9   215.4   334.7   408.2   457.4   496.5   541.8   598.2   674.0   836.9  1845.7  7819.2  51306.6    51267
read      380.1   353.3   160.7   211.4   225.4   373.8   422.9   446.5   461.5   478.4   499.7   534.0   660.4  4090.4 17707.0  11807.7    11822
read      358.2   207.8   148.8   205.0   219.3   326.6   386.1   421.9   449.6   483.8   529.9   604.2   770.4  1856.3  6955.7  97384.4    97494
read      366.8   278.6   148.8   207.1   221.6   332.0   391.9   427.9   456.4   491.6   538.4   616.5   798.9  2740.1 11189.4  97459.6    97350
