#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      452.5   518.0   187.4   269.3   303.7   410.2   447.7   467.4   483.8   502.4   531.0   588.1  1238.0  9297.5 15687.4   4967.2     5000  1713456515589  1713456521039
read      446.3   331.7   173.5   239.6   258.1   440.0   495.1   523.3   542.8   566.3   592.4   635.9   745.3  4396.7 13947.4  10003.2    10000  1713456522546  1713456527943
read      452.9   269.3   173.5   237.6   255.8   444.6   525.2   562.4   587.4   615.7   647.3   696.9   832.5  1983.2 10397.6  14942.2    15000  1713456529448  1713456534781
read      452.9   228.8   173.5   232.8   251.6   425.7   526.5   575.1   606.2   638.7   679.7   735.9   866.3  2005.1  8037.6  20021.0    20000  1713456536285  1713456541612
read      452.5   224.6   173.5   232.3   251.2   417.9   517.4   573.7   610.7   650.0   695.9   759.4   882.0  1346.7  6673.6  25068.0    25000  1713456543116  1713456548440
read      474.2   345.5   173.5   233.6   254.0   430.5   529.2   587.8   629.4   675.9   730.3   805.4   990.4  3734.9 16476.2  30100.3    30000  1713456549945  1713456555249
read      461.1   239.7   173.5   233.0   253.0   426.9   516.7   571.8   613.0   661.3   720.0   797.3   945.9  1329.5 10073.0  34844.0    35000  1713456556754  1713456562073
read      471.6   240.0   160.7   234.7   255.2   437.9   530.0   583.7   624.4   672.8   732.9   821.4  1006.7  1563.0  8135.0  40068.6    40000  1713456563578  1713456568901
read      473.9   270.5   173.5   233.7   254.6   436.4   531.1   585.4   625.4   673.8   735.8   828.9  1033.2  1805.1  9707.6  44925.5    45000  1713456570405  1713456575717
read      472.5   265.8   173.5   233.9   254.9   432.3   527.9   583.5   623.0   670.3   732.3   830.3  1048.5  2307.8 10050.4  50003.4    50000  1713456577222  1713456582530
read      473.5   282.4   173.5   236.4   258.0   434.0   530.3   585.6   626.3   674.6   736.0   830.8  1020.3  1398.2 10132.2  54863.8    55000  1713456584035  1713456589346
read      465.4   237.4   160.7   235.4   256.6   427.0   517.8   571.3   610.2   657.0   719.1   814.2  1038.9  1778.9  6901.7  60065.6    60000  1713456590851  1713456596181
read      474.9   246.3   173.5   238.6   262.0   436.4   525.7   578.9   618.6   666.8   730.6   826.8  1053.2  1760.3  9146.7  64878.4    65000  1713456597685  1713456602995
read      494.5   255.6   160.7   244.5   272.0   453.8   542.3   595.2   635.8   684.8   748.0   853.4  1127.7  3088.5  7648.0  69898.1    70000  1713456604499  1713456609807
read      547.5   288.9   173.5   266.7   302.9   503.9   598.7   660.4   709.9   770.4   847.1   964.0  1167.5  1612.0 10608.7  74990.4    75000  1713456611312  1713456616602
read      794.8   376.3   173.5   451.5   493.1   679.8   945.7  1036.8  1085.0  1135.9  1188.1  1267.5  1430.2  3293.0 12781.8  78482.8    80000  1713456618106  1713456623418
read      848.7   419.3   173.5   515.9   552.1   692.6  1015.5  1137.2  1190.5  1237.4  1284.9  1359.7  1488.6  4068.2 15225.6  76933.8    85000  1713456624923  1713456630240
read      810.3   400.4   187.4   464.8   500.8   693.0   957.9  1047.7  1095.4  1151.8  1221.7  1329.0  1494.9  3973.4 12732.2  80826.2    90000  1713456631745  1713456637054
read      852.4   431.6   173.5   499.9   543.1   704.8   999.7  1127.3  1184.5  1236.1  1289.5  1368.7  1567.2  4250.3 15493.5  77068.8    95000  1713456638558  1713456643854
read      816.3   405.8   187.4   477.6   513.9   680.7   986.7  1075.9  1123.3  1168.8  1224.4  1292.4  1452.1  3351.1 14486.7  80436.6   100000  1713456645359  1713456650673
read      863.7   432.3   187.4   515.8   558.0   714.0   978.7  1148.6  1212.7  1266.7  1327.2  1396.9  1575.8  4456.2 15058.4  76130.0   105000  1713456652177  1713456657484
read      852.0   420.4   202.4   493.9   534.8   721.0   983.5  1112.7  1173.4  1234.1  1299.3  1384.3  1583.6  3324.0 14456.4  77089.6   110000  1713456658990  1713456664297
read      840.4   466.2   187.4   507.9   542.9   685.4  1004.1  1126.4  1177.2  1225.4  1272.9  1347.9  1485.4  3059.5 19464.8  78298.0   115000  1713456665802  1713456671116
read      851.8   442.8   187.4   500.1   540.7   708.9  1009.3  1126.1  1180.5  1232.1  1283.3  1364.7  1538.2  2913.0 18138.0  77166.9   120000  1713456672622  1713456677942
read      820.9   423.7   173.5   495.1   530.0   672.9   989.5  1105.0  1149.0  1193.7  1244.5  1310.3  1455.6  2737.6 18982.1  79946.5   125000  1713456679445  1713456684754
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.48%,68.00%,100.00%
