timestamp,event,job
0.0,start,scheduler
0.03147101402282715,start,memcached
4.702620983123779,start,vips
60.46010684967041,end,vips
60.7854688167572,start,blackscholes
114.93768286705017,end,blackscholes
115.20138692855835,start,canneal
137.76154685020447,update_cores,memcached
138.14678192138672,start,dedup
142.65362882614136,update_cores,memcached
142.71378803253174,pause,dedup
264.7103838920593,update_cores,memcached
264.73634481430054,end,canneal
264.7632420063019,unpause,dedup
265.07691383361816,start,ferret
298.8864378929138,end,dedup
300.1212909221649,start,radix
327.21360301971436,update_cores,memcached
327.2903399467468,pause,radix
458.3087408542633,end,ferret
458.6321439743042,start,freqmine
521.8698949813843,update_cores,memcached
521.9387140274048,unpause,radix
526.4455988407135,update_cores,memcached
526.5207228660583,pause,radix
671.0655510425568,update_cores,memcached
671.1310768127441,unpause,radix
675.6376218795776,update_cores,memcached
675.7255330085754,pause,radix
711.8718018531799,end,freqmine
711.8984010219574,unpause,radix
711.9276888370514,update_cores,radix
716.4396200180054,end,radix
716.9403059482574,end,scheduler
