timestamp,event,job
0.0,start,scheduler
0.03280806541442871,start,memcached
4.291545867919922,start,vips
59.80061602592468,end,vips
60.093966007232666,start,blackscholes
115.64647006988525,end,blackscholes
115.90381097793579,start,canneal
133.94529700279236,update_cores,memcached
134.3172950744629,start,dedup
138.82532596588135,update_cores,memcached
138.90571784973145,pause,dedup
256.37720799446106,update_cores,memcached
256.428829908371,unpause,dedup
260.93736004829407,update_cores,memcached
261.00855898857117,pause,dedup
283.59088802337646,end,canneal
283.9033029079437,start,ferret
392.3101918697357,update_cores,memcached
392.36313700675964,unpause,dedup
410.4173228740692,update_cores,memcached
410.5094449520111,pause,dedup
487.3105959892273,end,ferret
487.70858907699585,start,freqmine
605.1532368659973,update_cores,memcached
605.2224609851837,unpause,dedup
609.7292189598083,update_cores,memcached
609.8139500617981,pause,dedup
763.425215959549,update_cores,memcached
763.4876480102539,unpause,dedup
767.993264913559,update_cores,memcached
768.0158100128174,end,dedup
768.0189828872681,end,freqmine
769.2823278903961,start,radix
791.8365709781647,end,radix
792.3369410037994,end,scheduler
