#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      339.0   204.4   173.5   230.5   244.0   319.3   358.5   380.4   396.5   416.1   440.5   478.6   572.2  2211.8  8792.6  29970.2    30000  1714234291328  1714234301525
read      346.9   225.9   173.5   230.4   244.7   323.1   363.7   386.9   402.8   424.7   452.4   495.8   648.0  2922.8  8505.5  29935.6    30005  1714234303033  1714234313170
read      348.4   275.5   173.5   237.9   249.9   317.2   355.0   378.0   396.1   418.5   447.9   494.3   638.1  4404.4 10044.5  30020.1    30010  1714234314679  1714234324804
read      348.6   512.9   173.5   229.2   240.3   301.8   339.7   364.8   383.9   406.5   436.5   484.9   650.2  8068.2 21613.1  30141.3    30015  1714234326319  1714234336433
read      375.9   488.6   187.4   235.7   247.6   326.0   371.1   398.8   420.4   446.2   480.6   537.3   784.9  8391.5 17300.6  30041.7    30020  1714234337940  1714234348067
read      348.8   369.9   173.5   232.8   244.4   315.5   355.4   379.4   397.7   420.9   451.5   497.5   618.2  5976.9 15665.7  30031.6    30025  1714234349576  1714234359688
read      373.0   335.5   187.4   237.8   252.1   341.8   388.4   414.6   433.6   458.3   490.5   541.8   709.1  5258.1 12805.6  30037.1    30030  1714234361195  1714234371305
read      352.7   323.1   173.5   231.6   243.8   319.5   363.1   388.4   406.0   430.1   461.4   508.2   667.6  4984.5 12852.2  29931.2    30035  1714234372815  1714234382936
read      355.3   365.9   187.4   233.3   245.5   319.9   363.2   389.2   407.9   432.1   464.1   510.3   652.2  5231.8 13355.1  30023.7    30040  1714234384443  1714234394555
read      335.3   234.3   173.5   227.4   239.3   306.4   345.9   370.7   390.0   413.0   444.1   492.4   619.8  3542.4  9118.8  29993.5    30045  1714234396064  1714234406182
read      344.6   349.7   173.5   229.1   241.0   310.8   351.3   375.6   394.6   417.3   447.6   494.6   627.3  5563.2 13325.2  30038.3    30050  1714234407693  1714234417810
read      376.1   441.3   173.5   238.3   251.5   334.9   380.9   407.8   428.9   455.0   489.4   542.8   769.9  6088.6 19652.2  30000.9    30055  1714234419320  1714234429435
read      329.9   208.3   173.5   229.3   241.7   304.2   338.9   362.1   379.8   401.8   431.1   472.9   594.1  2686.3  8342.2  30073.9    30060  1714234430944  1714234441054
read      345.0   226.4   173.5   231.4   245.8   323.5   364.2   388.0   404.4   426.7   454.7   496.6   606.7  1793.1 10479.9  30063.5    30065  1714234442564  1714234452690
read      343.6   195.2   173.5   226.8   240.8   323.6   367.0   391.4   408.5   430.0   458.2   499.4   600.3  1777.8  8435.0  30093.4    30070  1714234454200  1714234464317
read      334.6   250.4   173.5   230.3   243.2   311.3   347.6   370.6   388.4   408.7   435.5   476.0   577.5  1929.7 12379.6  30087.9    30075  1714234465826  1714234475943
read      334.6   194.2   173.5   226.7   240.2   315.7   355.5   377.4   394.1   413.6   438.3   478.6   569.5  1563.6  8230.5  30157.9    30080  1714234477452  1714234487567
read      330.0   194.5   173.5   227.1   239.9   309.4   348.0   371.1   388.5   408.1   435.0   473.3   559.1  1598.1  8394.9  30072.2    30085  1714234489077  1714234499193
read      345.4   246.6   187.4   230.7   243.4   319.7   363.5   389.3   407.7   431.0   460.6   502.6   615.9  2356.8 11872.0  29982.8    30090  1714234500704  1714234510823
read      339.9   174.1   173.5   231.2   244.7   320.2   360.8   383.9   400.3   421.6   448.3   489.3   583.8  1475.9  7896.9  30065.5    30095  1714234512331  1714234522450
