#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      423.2   610.6   187.4   267.4   300.3   386.1   416.0   433.3   448.5   466.0   495.5   549.6   867.0  9167.0 25108.4   4971.4     5000  1713455071123  1713455076564
read      426.4   323.7   173.5   246.9   268.1   412.2   453.5   473.8   491.2   508.6   538.7   592.5   993.2  3235.9 17583.9   9982.8    10000  1713455078069  1713455083448
read      425.6   275.4   173.5   239.2   256.4   420.0   475.1   501.3   519.8   540.4   568.8   615.7   762.4  4029.5 10857.7  15051.0    15000  1713455084954  1713455090305
read      426.5   283.2   173.5   231.8   248.3   415.0   492.4   525.8   547.0   572.0   599.8   642.0   777.6  2624.9 11977.5  19884.8    20000  1713455091811  1713455097149
read      423.4   247.5   173.5   228.5   244.9   396.4   492.7   532.5   557.2   583.4   616.0   665.4   842.5  1695.2  8471.3  24899.4    25000  1713455098654  1713455103985
read      416.7   249.4   173.5   227.1   242.7   371.8   477.0   525.2   554.9   585.5   621.2   673.7   871.0  2208.7 10125.2  30036.8    30000  1713455105491  1713455110806
read      415.8   240.0   173.5   227.2   242.9   368.1   472.3   527.6   560.8   593.1   629.4   681.1   829.1  2096.8 10492.2  35002.2    35000  1713455112310  1713455117617
read      393.2   191.6   173.5   222.5   236.6   347.8   438.8   494.4   529.9   565.7   603.8   656.7   782.7  1435.6  6972.6  40083.2    40000  1713455119122  1713455124428
read      392.2   226.3   173.5   223.5   238.2   347.4   429.4   484.2   523.5   563.0   603.6   657.1   762.9  1409.4  8466.4  44964.2    45000  1713455125933  1713455131260
read      388.7   192.2   173.5   224.1   238.9   347.4   424.4   474.9   514.0   555.4   599.0   654.1   767.4  1187.5  7960.2  49936.4    50000  1713455132764  1713455138081
read      392.9   202.0   173.5   224.9   240.2   353.6   427.0   473.6   510.0   551.6   597.8   662.3   807.5  1378.5  7852.9  55195.4    55000  1713455139587  1713455144902
read      391.8   206.7   160.7   225.6   241.1   350.9   421.7   467.4   504.6   547.6   596.6   665.1   824.7  1532.1  7868.8  60073.0    60000  1713455146407  1713455151708
read      384.4   196.6   173.5   224.0   239.0   343.8   414.1   458.9   493.2   534.0   582.3   650.0   825.5  1468.2  7836.8  65045.6    65000  1713455153212  1713455158533
read      377.4   202.6   160.7   222.2   236.1   335.8   405.2   451.4   485.4   524.8   572.3   637.9   801.2  1430.9  7532.4  70041.6    70000  1713455160038  1713455165371
read      380.0   169.4   173.5   224.8   239.7   344.3   408.2   448.6   478.9   515.9   562.5   630.4   819.8  1641.9  5599.3  75025.7    75000  1713455166875  1713455172189
read      367.7   159.1   173.5   224.1   238.6   338.3   397.1   432.0   458.9   491.8   535.0   596.5   732.0  1364.6  5984.2  79952.4    80000  1713455173694  1713455178995
read      362.4   142.2   160.7   224.8   239.5   335.0   389.6   422.4   447.8   479.6   522.5   585.7   716.1  1222.4  3936.8  84771.4    85000  1713455180499  1713455185810
read      369.6   168.2   160.7   224.2   239.6   344.7   401.0   433.6   458.6   488.8   528.8   588.2   730.6  1112.6  7424.5  90001.4    90000  1713455187314  1713455192617
read      362.1   170.2   173.5   224.3   239.2   339.2   392.2   422.5   445.1   472.2   509.9   570.3   699.2  1054.4  7464.9  95022.8    95000  1713455194122  1713455199438
read      384.7   159.3   160.7   232.5   250.0   361.6   416.1   447.9   470.9   501.6   541.0   607.5   781.1  1403.7  5378.4  99767.0   100000  1713455200942  1713455206250
read      392.0   164.4   173.5   236.0   254.3   368.0   422.7   455.1   479.3   509.1   550.0   622.5   804.8  1453.0  5760.8 105006.0   105000  1713455207755  1713455213055
read      415.6   203.1   173.5   243.4   265.5   391.8   449.1   483.0   508.5   542.1   586.8   661.5   821.0  1293.5  8870.1 109955.9   110000  1713455214560  1713455219864
read      467.7   207.9   173.5   259.3   287.1   440.8   513.6   556.7   588.4   627.2   677.4   755.6   925.5  1201.2  7278.6 114615.0   115000  1713455221369  1713455226671
read      526.0   220.0   173.5   294.1   330.8   513.5   578.0   614.4   639.6   674.2   718.4   789.7   957.0  1776.3  8717.9 118670.6   120000  1713455228175  1713455233487
read      466.3   251.5   173.5   240.9   262.9   401.2   493.8   571.8   632.5   697.2   771.4   869.9  1058.7  1355.4  8790.4 115997.8   125000  1713455234991  1713455240311
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.46%,67.34%,100.00%
