#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      443.4   667.5   173.5   272.5   303.8   395.5   426.8   445.0   459.8   477.0   505.4   562.8  1243.4  9249.5 30541.1   4938.8     5000  1713455261170  1713455266654
read      433.6   377.4   173.5   246.7   267.9   422.0   464.0   486.7   502.2   522.3   546.8   592.2   761.2  6283.2 15541.5  10046.2    10000  1713455268157  1713455273556
read      427.9   305.3   173.5   237.3   254.7   425.4   480.6   504.9   523.1   542.8   570.7   614.1   748.2  4043.2 11519.9  14958.2    15000  1713455275060  1713455280401
read      410.9   242.5   173.5   229.8   245.5   401.5   477.1   508.8   529.9   551.3   579.7   621.0   716.9  1423.8 10447.6  20102.4    20000  1713455281906  1713455287250
read      410.1   244.0   173.5   227.0   242.4   381.8   474.1   511.9   536.3   563.0   593.0   639.5   777.9  2274.4 10194.7  24921.2    25000  1713455288754  1713455294079
read      400.7   247.2   173.5   224.2   238.7   361.2   461.4   506.4   533.3   561.4   591.5   635.9   740.6  1763.4 11552.4  29836.4    30000  1713455295584  1713455300912
read      402.3   249.0   173.5   224.7   239.5   356.1   452.9   505.8   537.8   570.8   607.4   658.6   805.2  1843.1 12360.5  34964.8    35000  1713455302416  1713455307727
read      392.2   228.0   173.5   222.9   237.1   348.0   435.7   490.7   525.8   561.0   598.2   646.2   748.9  1366.6 10247.3  40074.6    40000  1713455309232  1713455314562
read      402.0   220.8   173.5   224.2   239.4   356.9   441.7   496.2   532.5   570.5   612.9   672.4   850.0  2060.8  8915.1  44806.4    45000  1713455316067  1713455321378
read      387.3   270.7   173.5   225.0   239.7   344.6   419.3   468.2   505.2   546.3   590.6   645.3   752.5  1318.1  9643.1  50030.0    50000  1713455322882  1713455328199
read      409.8   244.7   160.7   226.8   242.8   361.1   437.5   488.0   525.3   567.5   616.5   688.9  1041.0  2740.6  8590.0  54921.4    55000  1713455329705  1713455335015
read      389.7   193.0   160.7   224.3   239.5   351.4   425.6   471.2   505.7   545.3   591.5   657.4   809.4  1245.5  6792.3  60155.2    60000  1713455336519  1713455341832
read      389.4   187.9   173.5   226.0   241.6   354.7   423.1   464.8   497.2   535.8   583.1   649.7   807.1  1492.9  7595.5  64857.0    65000  1713455343337  1713455348644
read      383.5   208.6   173.5   226.0   241.4   349.3   414.3   454.2   484.7   522.0   569.3   635.9   791.6  1366.6  5716.4  70009.8    70000  1713455350148  1713455355458
read      382.2   210.8   173.5   225.2   240.3   345.8   411.6   452.1   482.6   520.0   567.6   636.6   804.2  1282.6  8538.6  74957.0    75000  1713455356963  1713455362271
read      375.8   187.2   173.5   226.1   241.2   343.5   402.2   437.8   465.8   500.8   545.8   618.4   792.6  1556.1  7929.0  80091.2    80000  1713455363777  1713455369086
read      374.9   163.5   173.5   226.5   242.0   348.5   407.9   441.9   467.1   498.8   540.1   602.4   737.8  1176.5  6349.8  84791.0    85000  1713455370590  1713455375900
read      384.6   175.9   173.5   229.8   246.1   356.6   415.1   449.4   474.4   506.6   548.4   619.1   805.4  1654.1  6120.5  89964.6    90000  1713455377404  1713455382722
read      383.7   162.0   173.5   232.2   249.0   360.7   417.0   449.6   472.9   503.5   543.0   607.3   757.3  1221.7  5732.7  95061.0    95000  1713455384227  1713455389541
read      396.8   169.9   160.7   236.2   254.9   373.3   429.9   463.1   488.3   518.5   559.5   628.0   807.8  1559.6  5763.2  99918.6   100000  1713455391046  1713455396357
read      434.9   208.7   173.5   244.1   266.9   403.0   466.7   505.2   535.6   573.4   626.2   719.2   995.5  1973.5  6560.9 104912.0   105000  1713455397862  1713455403168
read      427.8   195.2   173.5   246.1   269.6   402.7   461.7   497.0   524.0   556.9   603.5   683.1   906.5  1646.5  5701.3 109958.9   110000  1713455404673  1713455409988
read      479.4   214.2   173.5   264.6   295.4   453.6   522.7   563.0   592.3   630.1   679.8   761.3   987.6  2069.7  7500.6 114765.8   115000  1713455411492  1713455416805
read      501.7   253.5   173.5   267.9   299.2   458.0   543.7   602.3   645.5   697.6   762.4   857.2  1029.7  1385.4 10405.6 114511.8   120000  1713455418310  1713455423615
read      509.2   206.7   160.7   288.3   326.4   503.4   558.3   588.6   612.4   638.4   676.6   735.4   870.3  1344.1  9125.1 123053.1   125000  1713455425120  1713455430439
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.35%,59.39%,100.00%
