#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      432.6   569.7   187.4   272.2   302.3   393.5   425.2   442.6   457.5   472.8   500.4   548.3   855.9  8658.3 26161.2   5005.4     5000  1713455462507  1713455467947
read      429.8   416.9   187.4   247.0   268.0   418.7   460.2   481.5   496.5   512.9   538.9   582.7   746.9  5171.2 19346.5  10056.2    10000  1713455469451  1713455474845
read      428.8   416.1   173.5   237.9   255.7   423.7   480.3   505.7   524.0   543.1   569.8   610.7   744.1  3939.3 16145.0  15038.7    15000  1713455476350  1713455481679
read      425.7   285.8   173.5   232.0   248.9   413.5   490.9   523.8   544.6   569.4   596.5   639.5   773.4  2409.7 11524.1  19928.6    20000  1713455483184  1713455488514
read      412.7   224.5   173.5   229.0   245.3   386.4   480.1   518.2   541.4   567.5   595.9   639.9   747.6  1827.0  9707.1  24937.6    25000  1713455490020  1713455495397
read      409.4   230.4   173.5   225.2   240.6   370.0   472.5   518.8   546.9   576.7   610.6   658.7   790.8  1780.1  8818.1  29921.0    30000  1713455496902  1713455502223
read      411.9   253.5   173.5   226.3   242.1   367.9   468.3   521.8   554.8   587.2   623.8   673.4   793.6  1564.9 11438.4  34930.0    35000  1713455503728  1713455509041
read      418.9   241.5   160.7   226.5   242.6   370.8   468.5   524.9   561.2   598.1   637.7   699.2   918.8  2038.2  8085.6  39952.8    40000  1713455510545  1713455515844
read      402.0   209.7   160.7   225.5   241.2   360.4   444.2   497.8   535.1   574.1   616.5   673.2   801.3  1420.5  8065.1  44947.8    45000  1713455517349  1713455522668
read      392.4   203.1   173.5   225.0   240.1   349.7   426.7   478.5   516.5   558.0   603.2   662.8   796.1  1454.2  7838.4  49987.0    50000  1713455524173  1713455529477
read      394.8   224.3   160.7   226.6   242.2   353.7   426.9   475.1   512.2   554.4   601.3   664.0   803.1  1518.6 10035.9  54859.2    55000  1713455530982  1713455536290
read      381.7   225.3   160.7   225.0   239.5   342.0   408.4   453.1   487.9   530.0   579.5   642.5   789.8  1305.3  9035.0  59911.8    60000  1713455537795  1713455543096
read      381.4   212.8   173.5   225.3   240.1   345.5   411.1   452.8   484.6   523.5   571.3   635.4   774.9  1285.2  7958.5  64988.6    65000  1713455544602  1713455549898
read      386.8   176.6   160.7   225.2   240.9   353.1   421.6   462.7   493.9   531.2   577.7   641.9   801.6  1302.5  6249.3  69965.9    70000  1713455551402  1713455556703
read      387.6   181.2   160.7   225.9   241.6   350.3   416.0   456.3   487.0   524.4   573.2   647.0   879.3  1873.5  4451.6  74766.0    75000  1713455558208  1713455563513
read      380.5   176.7   173.5   226.5   241.9   347.8   411.5   450.1   478.9   514.3   560.7   630.5   790.9  1143.2  6464.5  79960.4    80000  1713455565019  1713455570329
read      379.6   172.7   173.5   227.4   242.8   348.2   407.2   442.7   469.4   503.9   547.9   620.0   804.1  1755.0  6059.0  84886.8    85000  1713455571834  1713455577142
read      378.2   189.0   173.5   226.0   241.5   347.8   407.2   443.1   469.8   503.4   546.6   618.5   796.1  1403.3  6178.7  89900.7    90000  1713455578646  1713455583941
read      397.0   201.2   173.5   232.8   251.5   373.1   431.0   464.3   489.5   519.5   559.5   628.3   817.1  1727.5  9679.5  95143.4    95000  1713455585446  1713455590753
read      392.6   156.2   173.5   233.5   251.3   367.6   426.2   460.8   487.1   518.9   562.2   632.2   800.2  1191.4  5132.7  99893.1   100000  1713455592258  1713455597560
read      398.8   190.9   173.5   232.8   251.6   371.3   429.1   463.8   490.9   524.2   569.5   643.8   861.3  1632.9  6190.8 104683.8   105000  1713455599064  1713455604361
read      397.1   190.9   173.5   235.3   254.3   370.1   426.9   461.6   488.8   522.5   569.3   645.7   812.5  1116.4  7633.5 109808.4   110000  1713455605866  1713455611161
read      436.7   189.8   173.5   252.5   278.0   413.4   473.1   509.8   539.0   574.8   622.4   696.1   856.8  1092.2  5818.6 114657.6   115000  1713455612665  1713455617963
read      476.8   203.3   173.5   262.6   291.0   440.2   523.9   575.4   612.3   653.9   706.1   788.8   953.4  1262.2  7565.5 117225.1   120000  1713455619467  1713455624793
read      561.4   240.3   173.5   306.3   342.4   552.2   630.5   672.3   701.5   737.3   784.6   855.7  1005.9  1359.2  9404.5 115292.8   125000  1713455626299  1713455631604
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.91%,75.25%,100.00%
